,T1,T2,T3
0,"[0, 294, 0, 0, 0, -14.64, -73.53, -35.28]","[0, 265, 23, 0, 0, -19.07, -70.2, -35.28]","[0, 265, 29, 1, 0, -17.47, -71.8, -35.28]"
1,"[0, 294, 0, 0, 0, -14.35, -73.79, -35.28]","[0, 267, 20, 0, 0, -18.63, -70.56, -35.28]","[0, 265, 31, 0, 0, -17.44, -71.58, -35.28]"
2,"[0, 294, 0, 0, 0, -14.24, -73.84, -35.28]","[0, 262, 22, 0, 0, -19.6, -70.26, -35.28]","[0, 265, 26, 0, 0, -17.09, -72.29, -35.28]"
3,"[0, 293, 0, 0, 0, -13.97, -73.99, -35.28]","[0, 262, 19, 0, 0, -17.81, -70.91, -35.28]","[0, 264, 30, 0, 0, -17.36, -71.49, -35.28]"
4,"[0, 295, 0, 0, 0, -14.68, -73.45, -35.28]","[0, 264, 21, 0, 0, -19.14, -70.24, -35.28]","[0, 263, 29, 0, 0, -17.69, -71.25, -35.28]"
5,"[0, 295, 0, 0, 0, -14.13, -73.73, -35.28]","[0, 263, 20, 0, 0, -18.95, -70.37, -35.28]","[0, 263, 26, 0, 0, -17.01, -72.11, -35.28]"
6,"[0, 294, 0, 0, 0, -14.25, -73.59, -35.28]","[0, 264, 21, 0, 0, -20.7, -66.7, -35.28]","[0, 265, 25, 0, 0, -17.55, -71.53, -35.28]"
7,"[0, 289, 0, 0, 0, -20.0, -55.22, -35.28]","[0, 273, 0, 0, 0, -21.62, -54.91, -35.28]","[0, 263, 31, 0, 0, -16.89, -72.02, -35.28]"
8,"[0, 266, 0, 0, 0, -19.56, -46.44, -35.28]","[0, 253, 0, 0, 0, -46.77, -35.9, -35.28]","[0, 263, 30, 0, 0, -17.32, -69.96, -35.28]"
9,"[0, 226, 0, 0, 0, -43.37, -46.65, 35.28]","[0, 304, 0, 0, 0, -16.12, -44.29, 35.28]","[0, 262, 0, 0, 0, -23.14, -56.83, -35.28]"
10,"[0, 214, 0, 0, 0, -17.53, -27.28, 35.28]","[0, 303, 0, 0, 218, -6.95, -32.43, 35.28]","[0, 79, 0, 0, 0, -18.82, -55.15, -35.28]"
11,"[0, 214, 0, 0, 0, -14.42, -31.6, 35.28]","[0, 338, 0, 0, 0, -4.22, -25.0, 35.28]","[0, 207, 0, 0, 0, -30.98, -58.43, -35.28]"
12,"[0, 257, 0, 0, 0, -4.01, -21.23, 35.28]","[0, 349, 0, 161, 0, -5.13, -26.94, 35.28]","[0, 254, 15, 0, 0, -5.07, -11.29, 35.28]"
13,"[0, 284, 0, 181, 0, -5.67, -18.22, 35.28]","[0, 347, 0, 178, 0, -2.51, -10.83, 35.28]","[0, 270, 0, 0, 0, 11.27, -13.88, 35.28]"
14,"[0, 302, 0, 368, 0, -9.07, -18.52, 35.28]","[0, 348, 1, 329, 0, -3.16, -12.07, 35.28]","[0, 265, 0, 0, 0, 0.7, -8.57, 35.28]"
15,"[0, 321, 0, 423, 0, -9.83, -13.86, 35.28]","[0, 391, 0, 379, 0, -1.38, -21.76, 35.28]","[0, 366, 0, 217, 0, -7.54, -22.61, 35.28]"
16,"[0, 312, 0, 493, 0, -12.51, -18.19, 35.28]","[0, 395, 4, 455, 354, 4.44, -30.46, 35.28]","[0, 375, 3, 327, 0, -15.62, -23.31, 35.28]"
17,"[0, 315, 0, 520, 405, -0.86, -20.3, 35.28]","[0, 401, 0, 518, 388, 52.42, -21.96, 35.28]","[0, 372, 0, 350, 0, -13.55, -15.21, 35.28]"
18,"[0, 319, 9, 532, 355, 29.28, -45.49, 35.28]","[0, 401, 0, 559, 391, 55.99, -7.63, -35.28]","[0, 332, 0, 467, 0, -10.94, -17.27, 35.28]"
19,"[0, 320, 0, 547, 287, 24.14, -10.47, -35.28]","[0, 421, 0, 529, 365, 52.73, -6.48, -35.28]","[0, 355, 0, 507, 0, -15.07, 31.97, -35.28]"
20,"[0, 332, 0, 573, 204, 59.35, -19.12, -35.28]","[0, 429, 0, 547, 363, 67.57, -8.12, -35.28]","[0, 402, 0, 539, 0, 47.84, -4.24, -35.28]"
21,"[0, 354, 0, 574, 310, 67.47, -22.56, 35.28]","[0, 464, 0, 545, 373, 59.1, -23.95, -35.28]","[0, 436, 0, 584, 369, 44.65, -11.43, -35.28]"
22,"[0, 402, 0, 570, 304, 54.12, -34.44, -35.28]","[0, 469, 2, 553, 0, 54.23, -30.94, -35.28]","[0, 472, 0, 601, 373, 64.81, -21.75, -35.28]"
23,"[0, 413, 0, 569, 323, 45.32, -35.5, -35.28]","[0, 441, 0, 463, 0, 51.35, -27.82, 35.28]","[0, 478, 0, 585, 367, 47.76, -22.04, -35.28]"
24,"[0, 376, 0, 549, 304, 68.72, -20.92, 35.28]","[0, 332, 0, 0, 0, 51.62, -20.76, 35.28]","[0, 487, 0, 573, 367, 54.57, -30.83, -35.28]"
25,"[0, 345, 0, 222, 118, 42.85, -34.44, 35.28]","[0, 190, 0, 0, 0, 33.76, -37.06, 35.28]","[0, 437, 0, 370, 0, 72.98, -10.54, 35.28]"
26,"[0, 283, 0, 0, 0, 46.29, -26.53, 35.28]","[0, 64, 2, 0, 0, 22.9, -46.93, 35.28]","[0, 310, 0, 0, 0, 45.18, -15.87, 35.28]"
27,"[0, 210, 0, 0, 0, 38.45, -40.85, 35.28]","[0, 1, 0, 0, 0, 13.63, -56.22, 35.28]","[0, 163, 1, 0, 0, 28.48, -35.08, 35.28]"
28,"[0, 77, 0, 0, 0, 35.38, -43.58, 35.28]","[0, 0, 0, 0, 0, 12.66, -64.68, 35.28]","[0, 59, 0, 0, 0, 19.41, -52.11, 35.28]"
29,"[0, 0, 0, 0, 0, 5.43, -80.07, 35.28]","[0, 0, 0, 0, 0, 6.0, -72.01, 35.28]","[0, 0, 0, 0, 0, -5.32, -75.11, 35.28]"
30,"[0, 30, 0, 0, 0, -7.17, -68.27, -35.28]","[0, 0, 0, 0, 0, -5.21, -83.76, -35.28]","[0, 0, 0, 0, 0, -9.0, -79.38, -35.28]"
31,"[0, 69, 0, 0, 0, -15.18, -71.13, -35.28]","[0, 30, 0, 0, 0, -4.04, -84.65, -35.28]","[0, 0, 1, 0, 0, -20.69, -62.12, -35.28]"
32,"[0, 76, 0, 0, 0, -15.88, -71.55, -35.28]","[0, 31, 0, 0, 0, -9.11, -80.2, -35.28]","[0, 0, 0, 0, 91, -21.77, -64.18, -35.28]"
33,"[0, 72, 0, 0, 0, -17.82, -71.22, -35.28]","[0, 58, 0, 0, 0, -19.01, -65.75, -35.28]","[0, 0, 0, 0, 123, -19.84, -62.95, -35.28]"
34,"[0, 79, 0, 0, 0, -17.28, -72.66, -35.28]","[0, 61, 0, 0, 0, -15.17, -71.9, -35.28]","[0, 0, 0, 0, 130, -28.29, -55.99, -35.28]"
35,"[0, 163, 0, 0, 0, -19.53, -69.95, -35.28]","[0, 74, 0, 0, 0, -20.42, -66.94, -35.28]","[0, 0, 0, 0, 126, -23.46, -66.24, -35.28]"
36,"[0, 248, 0, 0, 0, -19.22, -60.36, -35.28]","[0, 81, 0, 0, 0, -19.21, -55.7, -35.28]","[0, 40, 0, 0, 0, -25.26, -61.86, -35.28]"
37,"[0, 247, 0, 0, 0, -21.43, -68.58, -35.28]","[0, 69, 0, 0, 0, -15.15, -74.32, -35.28]","[0, 55, 0, 0, 0, -23.61, -65.64, -35.28]"
38,"[0, 82, 0, 0, 0, -18.21, -71.32, -35.28]","[0, 81, 0, 0, 0, -16.25, -73.43, -35.28]","[0, 71, 0, 0, 0, -24.01, -65.85, -35.28]"
39,"[0, 80, 0, 0, 0, -18.21, -69.26, -35.28]","[0, 91, 0, 0, 0, -16.33, -71.0, -35.28]","[0, 79, 0, 0, 0, -23.73, -65.84, -35.28]"
40,"[0, 80, 0, 0, 0, -19.67, -69.78, -35.28]","[0, 88, 0, 0, 0, -19.35, -70.61, -35.28]","[0, 81, 0, 0, 0, -25.59, -63.67, -35.28]"
41,"[0, 91, 10, 1, 0, -18.65, -70.46, -35.28]","[0, 93, 0, 0, 0, -16.46, -70.94, -35.28]","[0, 78, 25, 0, 0, -26.72, -63.12, -35.28]"
42,"[0, 96, 10, 0, 0, -18.53, -70.7, -35.28]","[0, 89, 0, 0, 0, -17.11, -71.63, -35.28]","[0, 92, 78, 0, 0, -24.06, -65.5, -35.28]"
43,"[0, 102, 8, 0, 0, -19.75, -69.24, -35.28]","[0, 92, 0, 0, 0, -15.48, -72.79, -35.28]","[0, 105, 104, 0, 0, -24.98, -64.98, -35.28]"
44,"[0, 109, 17, 0, 0, -19.25, -69.9, -35.28]","[0, 97, 17, 0, 0, -15.84, -72.95, -35.28]","[0, 107, 94, 0, 0, -25.81, -64.07, -35.28]"
45,"[0, 110, 19, 1, 0, -19.43, -69.82, -35.28]","[0, 94, 21, 0, 0, -16.51, -72.28, -35.28]","[0, 125, 107, 0, 0, -25.51, -64.22, -35.28]"
46,"[0, 111, 17, 0, 0, -18.79, -70.52, -35.28]","[0, 90, 24, 0, 0, -16.86, -72.25, -35.28]","[0, 135, 107, 0, 0, -24.96, -64.83, -35.28]"
47,"[0, 111, 16, 0, 0, -19.47, -69.68, -35.28]","[0, 86, 13, 0, 0, -17.4, -71.33, -35.28]","[0, 146, 108, 0, 0, -25.62, -64.25, -35.28]"
48,"[0, 111, 12, 0, 0, -18.77, -70.26, -35.28]","[0, 84, 24, 0, 0, -16.32, -72.52, -35.28]","[0, 145, 106, 0, 0, -25.45, -64.39, -35.28]"
