,T1,T2,T3
0,"[0, 317, 0, 0, 0, -23.42, -65.52, -35.28]","[0, 65, 0, 0, 0, -20.25, -68.42, -35.28]","[0, 0, 0, 0, 0, -13.72, -76.29, -35.28]"
1,"[0, 316, 0, 0, 0, -23.7, -65.31, -35.28]","[0, 63, 0, 0, 0, -20.27, -68.25, -35.28]","[0, 0, 0, 0, 0, -14.87, -74.98, -35.28]"
2,"[0, 288, 0, 0, 0, -23.87, -65.1, -35.28]","[0, 65, 0, 0, 0, -20.32, -68.27, -35.28]","[0, 0, 0, 0, 0, -14.79, -75.19, -35.28]"
3,"[0, 305, 1, 0, 0, -23.84, -65.07, -35.28]","[0, 65, 0, 0, 0, -20.53, -68.11, -35.28]","[0, 0, 0, 0, 0, -14.17, -75.84, -35.28]"
4,"[0, 302, 0, 0, 0, -23.41, -65.71, -35.28]","[0, 66, 0, 0, 0, -20.34, -68.46, -35.28]","[0, 0, 0, 0, 0, -13.94, -76.05, -35.28]"
5,"[0, 307, 0, 0, 0, -23.37, -65.51, -35.28]","[0, 63, 0, 0, 0, -19.72, -68.94, -35.28]","[0, 0, 0, 0, 1, -14.26, -75.66, -35.28]"
6,"[0, 315, 1, 0, 0, -23.76, -65.11, -35.28]","[0, 63, 0, 0, 0, -20.89, -67.9, -35.28]","[0, 0, 0, 0, 0, -14.09, -75.88, -35.28]"
7,"[0, 329, 0, 0, 0, -22.82, -64.65, -35.28]","[0, 64, 0, 0, 0, -19.94, -68.77, -35.28]","[0, 0, 0, 0, 0, -12.95, -76.74, -35.28]"
8,"[0, 336, 0, 0, 0, -18.94, -57.29, -35.28]","[0, 63, 0, 1, 0, -20.6, -68.06, -35.28]","[0, 0, 0, 0, 0, -12.25, -73.23, -35.28]"
9,"[0, 369, 0, 0, 0, -22.22, -43.23, -35.28]","[0, 63, 0, 0, 0, -20.05, -68.63, -35.28]","[0, 0, 0, 0, 0, -19.64, -58.86, -35.28]"
10,"[0, 494, 0, 0, 0, -24.68, -60.99, -35.28]","[0, 64, 0, 0, 0, -17.84, -66.85, -35.28]","[0, 0, 0, 1, 0, -19.28, -57.79, -35.28]"
11,"[0, 592, 4, 542, 576, -8.94, -73.96, 35.28]","[0, 24, 0, 0, 0, -22.12, -55.14, -35.28]","[0, 398, 0, 0, 0, -10.34, -79.71, 35.28]"
12,"[0, 478, 0, 639, 579, -4.27, -50.47, 35.28]","[0, 0, 0, 1, 0, -23.62, -51.14, -35.28]","[0, 549, 3, 269, 522, 0.37, -58.93, 35.28]"
13,"[0, 485, 0, 624, 629, -13.44, -70.96, 35.28]","[0, 0, 0, 0, 0, -20.84, -68.84, -35.28]","[0, 566, 0, 622, 576, -7.71, -52.65, 35.28]"
14,"[0, 572, 4, 655, 650, -28.37, -52.21, -35.28]","[0, 1, 0, 0, 174, -6.72, -71.34, 35.28]","[0, 574, 0, 661, 633, -39.88, -50.09, 35.28]"
15,"[0, 629, 0, 670, 672, -41.23, -40.96, -35.28]","[0, 610, 0, 518, 601, 5.9, -63.38, 35.28]","[0, 582, 0, 672, 651, -57.78, -32.24, -35.28]"
16,"[0, 601, 0, 675, 675, -50.61, -38.2, -35.28]","[0, 606, 0, 667, 662, -45.38, -40.19, 35.28]","[0, 582, 0, 676, 654, -63.75, -24.71, 35.28]"
17,"[0, 609, 0, 676, 675, -57.36, -32.58, -35.28]","[0, 596, 0, 599, 562, -35.33, -47.15, -35.28]","[0, 584, 0, 679, 634, -54.4, -23.11, 35.28]"
18,"[0, 613, 0, 677, 674, -57.34, -28.19, -35.28]","[0, 609, 0, 633, 672, -42.72, -47.18, -35.28]","[0, 614, 0, 678, 667, -43.35, -21.4, 35.28]"
19,"[0, 620, 0, 684, 673, -46.9, -43.14, -35.28]","[0, 575, 0, 635, 662, -51.44, -34.94, 35.28]","[0, 601, 0, 678, 668, -20.87, -23.84, 35.28]"
20,"[0, 632, 0, 682, 670, -82.89, -4.41, 35.28]","[0, 548, 0, 631, 659, -57.87, -31.99, -35.28]","[0, 585, 0, 679, 673, -38.17, -32.2, 35.28]"
21,"[0, 639, 0, 685, 674, -45.85, 3.63, 35.28]","[0, 552, 0, 648, 663, -38.17, -40.12, 35.28]","[0, 585, 0, 676, 673, -41.08, -43.82, -35.28]"
22,"[0, 633, 0, 686, 675, -34.91, -27.53, 35.28]","[0, 569, 0, 675, 664, -61.38, -28.6, 35.28]","[0, 610, 0, 676, 671, -44.56, -44.75, 35.28]"
23,"[0, 607, 1, 688, 674, -42.28, -47.34, 35.28]","[0, 574, 0, 681, 666, -44.05, 8.75, 35.28]","[0, 630, 0, 674, 658, -39.54, -44.04, 35.28]"
24,"[0, 607, 0, 688, 675, -54.68, -35.33, 35.28]","[0, 547, 0, 686, 670, -44.04, -39.69, 35.28]","[0, 637, 0, 673, 662, -40.31, -44.31, 35.28]"
25,"[0, 608, 0, 687, 673, -53.9, -33.38, 35.28]","[0, 551, 0, 685, 670, -39.27, -50.76, 35.28]","[0, 643, 3, 675, 658, -61.96, -10.53, 35.28]"
26,"[0, 614, 0, 687, 672, -48.05, -37.55, 35.28]","[0, 610, 0, 686, 668, -46.4, -40.28, 35.28]","[0, 642, 0, 676, 650, -40.87, -24.53, 35.28]"
27,"[0, 623, 0, 687, 665, -51.3, -38.44, -35.28]","[0, 602, 0, 685, 669, -47.68, -37.58, 35.28]","[0, 618, 3, 675, 630, -32.11, -54.47, 35.28]"
28,"[0, 639, 0, 685, 641, -48.66, -40.79, 35.28]","[0, 605, 0, 684, 669, -41.13, -48.11, -35.28]","[0, 611, 0, 674, 645, -44.33, -45.56, 35.28]"
29,"[0, 644, 9, 685, 654, -47.52, -24.35, 35.28]","[0, 620, 0, 683, 632, -45.86, -38.0, 35.28]","[0, 640, 0, 669, 652, -47.58, -42.14, 35.28]"
30,"[0, 642, 0, 686, 668, -79.4, -8.92, -35.28]","[0, 634, 0, 682, 653, -38.74, -34.33, 35.28]","[0, 646, 0, 667, 654, -51.27, -38.74, 35.28]"
31,"[0, 647, 0, 685, 662, -53.33, -25.51, -35.28]","[0, 630, 0, 683, 653, -66.89, -12.38, -35.28]","[0, 636, 0, 625, 631, -31.89, -51.34, 35.28]"
32,"[0, 637, 0, 683, 665, -53.95, -23.15, -35.28]","[0, 645, 0, 683, 644, -45.66, -38.64, -35.28]","[0, 548, 3, 532, 596, -23.37, -54.54, 35.28]"
33,"[0, 652, 0, 681, 663, -56.97, -27.51, -35.28]","[0, 644, 0, 676, 643, -53.77, -27.89, -35.28]","[0, 486, 192, 222, 507, -5.41, -62.33, 35.28]"
34,"[0, 642, 0, 673, 658, -38.28, -51.7, -35.28]","[0, 637, 0, 646, 617, -30.04, -60.0, 35.28]","[0, 438, 0, 0, 156, 3.79, -70.09, 35.28]"
35,"[0, 641, 0, 640, 623, -38.92, -49.27, 35.28]","[0, 575, 0, 538, 563, -30.17, -59.46, 35.28]","[0, 393, 0, 0, 0, -5.05, -84.22, 35.28]"
36,"[0, 541, 0, 498, 531, -11.51, -74.84, 35.28]","[0, 519, 0, 237, 488, -21.77, -68.2, 35.28]","[0, 348, 0, 0, 0, 3.99, -75.04, -35.28]"
37,"[0, 386, 0, 1, 261, -12.84, -74.26, -35.28]","[0, 440, 0, 0, 336, 0.33, -79.79, -35.28]","[0, 345, 0, 0, 0, 5.86, -73.42, -35.28]"
38,"[0, 393, 0, 0, 0, -18.72, -63.39, -35.28]","[0, 303, 8, 0, 0, -1.67, -65.76, -35.28]","[0, 339, 0, 0, 0, -2.53, -69.14, -35.28]"
39,"[0, 351, 0, 0, 0, -24.51, -59.27, -35.28]","[0, 313, 3, 1, 0, -0.41, -57.11, -35.28]","[0, 336, 0, 0, 0, -1.8, -72.84, -35.28]"
40,"[0, 326, 0, 0, 192, -27.16, -52.31, -35.28]","[0, 307, 0, 0, 0, 0.89, -56.28, -35.28]","[0, 331, 0, 0, 0, -6.13, -73.56, -35.28]"
41,"[0, 303, 0, 0, 37, -25.11, -58.47, -35.28]","[0, 316, 0, 0, 0, -0.3, -61.55, -35.28]","[0, 304, 0, 0, 0, -3.13, -83.97, -35.28]"
42,"[0, 248, 0, 0, 0, -25.08, -53.43, -35.28]","[0, 306, 0, 0, 0, -5.09, -72.32, -35.28]","[0, 258, 0, 0, 0, -3.32, -79.19, -35.28]"
43,"[0, 228, 2, 0, 0, -18.38, -61.35, -35.28]","[0, 301, 0, 0, 0, -8.09, -67.97, -35.28]","[0, 147, 0, 0, 0, -3.04, -71.64, -35.28]"
44,"[0, 226, 0, 0, 0, -15.03, -66.96, -35.28]","[0, 283, 0, 0, 0, -9.13, -67.37, -35.28]","[0, 137, 0, 0, 0, -3.09, -86.8, -35.28]"
45,"[0, 111, 0, 0, 0, -15.29, -71.25, -35.28]","[0, 204, 0, 0, 0, -1.06, -84.51, -35.28]","[0, 142, 0, 0, 0, -3.4, -86.64, -35.28]"
46,"[0, 83, 0, 0, 0, -16.0, -68.88, -35.28]","[0, 120, 0, 0, 0, -7.76, -67.46, -35.28]","[0, 152, 0, 0, 0, -6.0, -83.94, -35.28]"
47,"[0, 103, 0, 0, 0, -19.05, -67.64, -35.28]","[0, 102, 0, 0, 0, -6.55, -75.08, -35.28]","[0, 131, 0, 0, 0, -7.74, -82.07, 35.28]"
48,"[0, 104, 0, 0, 0, -18.5, -68.32, -35.28]","[0, 78, 0, 0, 0, -8.35, -77.71, -35.28]","[0, 112, 0, 0, 0, -4.82, -85.21, -35.28]"
49,"[0, 93, 0, 0, 0, -18.27, -69.54, -35.28]","[0, 0, 0, 0, 0, -9.47, -75.43, -35.28]","[0, 109, 0, 0, 0, -5.01, -84.79, -35.28]"
