,T1,T2,T3
0,"[0, 209, 0, 0, 0, -16.17, -73.77, 35.28]","[0, 0, 0, 0, 0, -13.72, -76.32, -35.28]","[0, 0, 0, 0, 0, -11.97, -77.73, 35.28]"
1,"[0, 209, 0, 0, 0, -16.52, -73.4, 35.28]","[0, 0, 2, 0, 0, -14.15, -75.9, 35.28]","[0, 0, 0, 0, 0, -11.81, -78.02, 35.28]"
2,"[0, 210, 0, 0, 0, -16.42, -73.49, 35.28]","[0, 0, 0, 0, 0, -13.79, -76.23, 35.28]","[0, 0, 0, 0, 0, -11.91, -77.88, 35.28]"
3,"[0, 209, 0, 0, 0, -16.63, -73.22, 35.28]","[0, 0, 0, 0, 0, -14.4, -75.64, 35.28]","[0, 0, 0, 0, 0, -12.0, -77.85, 35.28]"
4,"[0, 209, 0, 0, 0, -16.78, -73.14, 35.28]","[0, 0, 0, 0, 0, -13.79, -76.25, -35.28]","[0, 0, 0, 0, 0, -12.11, -77.65, 35.28]"
5,"[0, 209, 0, 0, 0, -16.49, -73.42, 35.28]","[0, 0, 0, 0, 0, -14.1, -75.93, 35.28]","[0, 0, 0, 0, 0, -12.1, -77.73, 35.28]"
6,"[0, 210, 0, 0, 0, -16.68, -73.29, 35.28]","[0, 0, 0, 0, 0, -13.94, -76.11, 35.28]","[0, 0, 0, 0, 0, -12.07, -77.72, 35.28]"
7,"[0, 210, 0, 0, 0, -16.77, -73.19, 35.28]","[0, 0, 0, 0, 0, -14.26, -75.78, 35.28]","[0, 0, 0, 0, 0, -12.03, -77.76, 35.28]"
8,"[0, 209, 0, 0, 0, -16.47, -73.4, 35.28]","[0, 0, 0, 0, 0, -13.85, -76.2, -35.28]","[0, 0, 0, 3, 0, -11.93, -77.92, 35.28]"
9,"[0, 211, 0, 0, 0, -16.83, -73.11, 35.28]","[0, 0, 0, 0, 0, -13.89, -76.07, -35.28]","[0, 0, 0, 2, 0, -11.8, -77.95, 35.28]"
10,"[0, 209, 0, 0, 0, -16.66, -73.19, 35.28]","[0, 0, 0, 0, 0, -14.59, -75.13, 35.28]","[0, 1, 0, 0, 0, -11.82, -78.17, 35.28]"
11,"[0, 209, 0, 1, 0, -16.51, -73.42, 35.28]","[0, 0, 0, 0, 0, -14.2, -75.84, -35.28]","[0, 0, 0, 0, 0, -11.43, -78.61, nan]"
12,"[0, 210, 0, 0, 0, -16.67, -73.27, 35.28]","[0, 0, 0, 0, 0, -14.16, -75.88, 35.28]","[0, 0, 0, 0, 0, -9.8, -79.96, -35.28]"
13,"[0, 211, 0, 1, 0, -16.73, -73.18, 35.28]","[0, 0, 0, 0, 0, -13.6, -76.4, -35.28]","[0, 0, 0, 0, 0, -14.47, -68.51, -35.28]"
14,"[0, 209, 0, 2, 0, -16.6, -73.34, 35.28]","[0, 0, 0, 0, 0, -13.92, -76.07, -35.28]","[0, 97, 0, 0, 0, -7.45, -72.48, -35.28]"
15,"[0, 209, 0, 0, 0, -16.35, -73.6, 35.28]","[0, 0, 0, 0, 0, -11.09, -74.01, -35.28]","[0, 107, 416, 164, 358, -1.32, -80.42, -35.28]"
16,"[0, 209, 0, 0, 0, -12.72, -76.83, -35.28]","[0, 0, 0, 0, 0, -11.63, -69.95, -35.28]","[0, 116, 0, 609, 582, 1.35, -84.3, -35.28]"
17,"[0, 196, 0, 1, 0, -10.43, -74.45, -35.28]","[0, 67, 1, 0, 0, -3.69, -75.44, -35.28]","[0, 129, 0, 657, 661, 7.3, -82.52, 35.28]"
18,"[0, 252, 0, 0, 0, -8.72, -72.41, -35.28]","[0, 17, 0, 172, 434, 0.32, -76.89, -35.28]","[0, 142, 0, 681, 616, 34.2, -53.3, 35.28]"
19,"[0, 375, 0, 0, 88, -2.56, -74.85, -35.28]","[0, 0, 0, 431, 570, 7.43, -76.43, -35.28]","[0, 131, 0, 684, 671, 24.59, -57.3, 35.28]"
20,"[0, 425, 408, 199, 446, 1.64, -65.01, -35.28]","[0, 0, 0, 605, 625, 58.36, -31.24, 35.28]","[0, 99, 0, 685, 666, -20.35, -7.96, -35.28]"
21,"[0, 123, 0, 322, 498, 10.03, -62.17, -35.28]","[0, 21, 0, 638, 633, 44.05, -3.75, 35.28]","[0, 71, 0, 683, 673, -18.39, 22.31, -35.28]"
22,"[0, 84, 0, 567, 582, 32.16, -48.33, -35.28]","[0, 33, 0, 637, 637, -49.86, -29.38, 35.28]","[0, 0, 0, 682, 646, -10.69, 22.84, -35.28]"
23,"[0, 38, 0, 610, 571, 57.31, -32.72, -35.28]","[0, 0, 0, 632, 630, -45.09, 29.4, 35.28]","[0, 0, 0, 679, 669, 13.59, 32.32, -35.28]"
24,"[0, 36, 0, 592, 632, 67.39, -18.22, 35.28]","[0, 0, 0, 635, 638, 28.02, 60.61, 35.28]","[0, 0, 0, 681, 647, 67.09, 9.1, -35.28]"
25,"[0, 0, 0, 615, 638, 58.4, 23.97, 35.28]","[0, 0, 0, 635, 650, 51.29, 24.71, -35.28]","[0, 0, 0, 682, 637, 85.64, 3.26, 35.28]"
26,"[0, 0, 3, 613, 623, 60.41, 29.46, 35.28]","[0, 0, 3, 621, 636, 66.32, 9.29, -35.28]","[0, 0, 0, 681, 669, 75.24, -7.94, -35.28]"
27,"[0, 0, 1, 616, 633, 54.26, 35.09, 35.28]","[0, 0, 0, 633, 589, 63.98, -24.96, -35.28]","[0, 0, 0, 683, 645, 58.21, -11.39, -35.28]"
28,"[0, 0, 0, 617, 632, 64.66, 25.15, -35.28]","[0, 0, 0, 646, 622, 82.97, -4.32, -35.28]","[0, 99, 0, 680, 637, 51.49, -8.78, -35.28]"
