,T1,T2,T3
0,"[0, 68, 0, 0, 0, -16.68, -71.01, -35.28]","[0, 137, 69, 0, 0, -13.08, -75.45, -35.28]","[0, 171, 0, 0, 0, -10.79, -78.35, -35.28]"
1,"[0, 68, 0, 0, 0, -17.12, -70.85, -35.28]","[0, 136, 69, 0, 0, -13.0, -75.42, -35.28]","[0, 174, 0, 0, 0, -10.31, -78.83, -35.28]"
2,"[0, 67, 0, 0, 0, -16.7, -71.04, -35.28]","[0, 136, 71, 0, 0, -12.8, -75.8, -35.28]","[0, 174, 0, 0, 0, -10.27, -78.72, -35.28]"
3,"[0, 68, 0, 0, 0, -16.58, -71.18, -35.28]","[0, 135, 66, 0, 0, -13.05, -75.27, -35.28]","[0, 175, 0, 0, 0, -10.39, -78.69, -35.28]"
4,"[0, 68, 0, 0, 0, -16.8, -71.02, -35.28]","[0, 133, 69, 0, 0, -13.04, -75.49, -35.28]","[0, 172, 0, 0, 0, -10.16, -78.99, -35.28]"
5,"[0, 68, 0, 0, 0, -16.47, -71.12, -35.28]","[0, 127, 68, 0, 0, -13.07, -75.41, -35.28]","[0, 174, 0, 0, 0, -10.21, -78.98, -35.28]"
6,"[0, 68, 0, 1, 0, -16.13, -70.55, -35.28]","[0, 124, 69, 0, 0, -12.79, -75.77, -35.28]","[0, 175, 1, 0, 0, -9.99, -78.49, -35.28]"
7,"[0, 64, 0, 0, 0, -17.97, -64.45, -35.28]","[0, 118, 66, 0, 0, -12.92, -75.53, -35.28]","[0, 174, 0, 0, 0, -11.57, -74.6, -35.28]"
8,"[0, 67, 0, 0, 0, -17.95, -63.15, -35.28]","[0, 108, 70, 0, 0, -11.68, -74.23, -35.28]","[0, 131, 0, 0, 0, -6.18, -74.83, -35.28]"
9,"[0, 71, 0, 254, 538, -2.37, -77.46, -35.28]","[0, 63, 3, 0, 0, -11.15, -68.24, -35.28]","[0, 169, 65, 0, 173, -2.01, -79.86, -35.28]"
10,"[0, 210, 0, 587, 643, 7.14, -81.94, -35.28]","[0, 59, 28, 0, 0, -6.14, -70.74, -35.28]","[0, 243, 64, 171, 502, -0.32, -87.64, 35.28]"
11,"[0, 74, 0, 584, 659, 19.34, -63.58, 35.28]","[0, 59, 67, 14, 363, -1.17, -77.96, -35.28]","[0, 225, 0, 459, 608, 6.71, -64.76, 35.28]"
12,"[0, 61, 0, 569, 397, 45.94, -14.11, 35.28]","[0, 227, 30, 490, 560, 8.61, -81.29, 35.28]","[0, 285, 0, 519, 70, 39.75, -17.97, 35.28]"
13,"[0, 248, 0, 586, 675, 66.73, 19.16, 35.28]","[0, 234, 29, 511, 612, 29.01, -48.44, 35.28]","[0, 300, 0, 570, 176, 74.32, 12.19, 35.28]"
14,"[0, 245, 0, 556, 670, 80.55, 9.34, 35.28]","[0, 227, 0, 602, 635, 49.08, 16.0, 35.28]","[0, 304, 0, 608, 369, 72.58, 15.73, -35.28]"
15,"[0, 206, 0, 549, 668, 71.7, 17.11, -35.28]","[0, 220, 81, 605, 649, 55.59, 33.78, 35.28]","[0, 306, 86, 614, 382, 68.66, 20.99, -35.28]"
16,"[0, 154, 0, 611, 0, 74.59, 13.84, -35.28]","[0, 226, 0, 612, 73, 71.78, 14.39, -35.28]","[0, 309, 0, 599, 362, 78.1, 11.94, -35.28]"
17,"[0, 165, 0, 628, 0, 58.7, -26.85, -35.28]","[0, 218, 0, 636, 640, 85.99, 3.26, -35.28]","[0, 306, 0, 603, 369, 80.9, -6.51, -35.28]"
18,"[0, 164, 0, 656, 0, 55.03, -34.76, -35.28]","[0, 62, 0, 636, 627, 71.59, -14.83, -35.28]","[0, 316, 2, 610, 351, 58.99, -30.61, -35.28]"
19,"[0, 165, 2, 617, 0, 33.38, -53.59, -35.28]","[0, 62, 0, 581, 645, 69.77, -18.61, -35.28]","[0, 314, 0, 581, 344, 42.76, -43.05, -35.28]"
20,"[0, 162, 0, 655, 0, 25.49, -58.35, -35.28]","[0, 60, 0, 631, 620, 37.32, -47.93, -35.28]","[0, 312, 0, 627, 329, 42.7, -41.77, -35.28]"
21,"[0, 159, 0, 657, 0, 39.8, -48.25, -35.28]","[0, 61, 1, 646, 482, 36.35, -47.07, -35.28]","[0, 305, 0, 620, 304, 42.42, -41.52, -35.28]"
22,"[0, 159, 0, 659, 0, 45.51, -44.45, -35.28]","[0, 63, 0, 635, 510, 44.5, -44.0, -35.28]","[0, 302, 0, 614, 294, 56.81, -32.47, -35.28]"
23,"[0, 242, 0, 659, 0, 60.77, -28.8, -35.28]","[0, 124, 0, 635, 520, 53.02, -36.67, -35.28]","[0, 289, 0, 630, 264, 64.88, -24.72, -35.28]"
24,"[0, 215, 2, 661, 0, 63.05, -26.95, 35.28]","[0, 133, 0, 631, 628, 64.44, -24.58, -35.28]","[0, 324, 0, 627, 268, 69.04, -13.19, -35.28]"
25,"[0, 241, 0, 659, 0, 66.44, -23.13, -35.28]","[0, 196, 0, 634, 611, 72.75, -16.56, -35.28]","[0, 322, 0, 627, 407, 79.74, -8.19, -35.28]"
26,"[0, 253, 2, 660, 0, 70.76, -15.08, -35.28]","[0, 228, 0, 627, 75, 65.33, -8.54, -35.28]","[0, 324, 0, 625, 440, 74.69, -8.1, -35.28]"
27,"[0, 240, 61, 658, 0, 67.44, -22.57, -35.28]","[0, 246, 0, 612, 0, 56.08, 1.67, -35.28]","[0, 312, 0, 613, 451, 74.84, -10.07, -35.28]"
28,"[0, 239, 47, 655, 0, 70.88, -18.37, 35.28]","[0, 243, 0, 591, 49, 75.24, -13.55, 35.28]","[0, 303, 0, 600, 458, 81.61, -5.52, -35.28]"
29,"[0, 233, 0, 616, 0, 75.32, 12.7, -35.28]","[0, 137, 0, 578, 52, 48.69, -28.67, 35.28]","[0, 313, 0, 578, 444, 77.9, 12.09, -35.28]"
30,"[0, 259, 0, 496, 539, 38.38, -46.29, 35.28]","[0, 160, 1, 576, 438, 28.41, -51.76, 35.28]","[0, 280, 0, 484, 603, 79.68, -7.39, 35.28]"
31,"[0, 158, 3, 247, 447, 21.61, -63.73, 35.28]","[0, 142, 0, 529, 575, 20.54, -63.75, 35.28]","[0, 259, 0, 362, 495, 38.1, -50.53, 35.28]"
32,"[0, 163, 0, 0, 271, 10.94, -72.32, 35.28]","[0, 210, 0, 342, 507, 8.13, -79.53, 35.28]","[0, 90, 0, 153, 411, 24.0, -63.4, 35.28]"
33,"[0, 168, 0, 0, 0, 0.85, -85.42, -35.28]","[0, 214, 0, 0, 311, 0.81, -88.17, -35.28]","[0, 164, 0, 0, 236, 16.41, -73.06, 35.28]"
34,"[0, 165, 0, 0, 0, 4.62, -85.12, 35.28]","[0, 220, 0, 0, 197, -3.8, -82.5, -35.28]","[0, 284, 0, 0, 0, 9.26, -80.45, -35.28]"
35,"[0, 167, 0, 0, 0, -2.04, -84.1, -35.28]","[0, 225, 0, 0, 0, -2.92, -79.02, -35.28]","[0, 171, 0, 0, 0, 0.08, -87.92, -35.28]"
36,"[0, 265, 0, 0, 0, -4.3, -83.07, -35.28]","[0, 230, 0, 0, 0, -7.65, -75.81, -35.28]","[0, 211, 0, 0, 0, -2.11, -84.6, -35.28]"
37,"[0, 277, 0, 0, 0, -5.58, -84.34, -35.28]","[0, 163, 0, 0, 0, -8.04, -81.95, 35.28]","[0, 176, 0, 0, 0, -2.82, -86.01, -35.28]"
38,"[0, 169, 0, 0, 0, -9.3, -79.21, -35.28]","[0, 167, 0, 0, 0, -7.76, -72.9, -35.28]","[0, 182, 0, 0, 188, -7.0, -80.8, -35.28]"
