,T1,T2,T3
0,"[0, 0, 0, 0, 0, -13.49, -76.48, -35.28]","[0, 2, 0, 0, 0, -10.06, -79.14, 35.28]","[0, 124, 154, 0, 400, -9.08, -79.88, 35.28]"
1,"[0, 0, 0, 0, 0, -13.62, -76.34, -35.28]","[0, 0, 0, 0, 0, -10.04, -79.22, 35.28]","[0, 125, 149, 0, 399, -9.35, -79.49, 35.28]"
2,"[0, 0, 0, 0, 0, -13.64, -76.28, -35.28]","[0, 0, 0, 0, 0, -9.81, -79.6, 35.28]","[0, 125, 151, 0, 404, -8.88, -80.32, 35.28]"
3,"[0, 0, 0, 0, 0, -13.9, -76.09, -35.28]","[0, 0, 0, 0, 0, -9.87, -79.62, 35.28]","[0, 123, 150, 0, 401, -8.78, -79.98, 35.28]"
4,"[0, 0, 0, 0, 0, -13.81, -76.22, -35.28]","[0, 0, 2, 0, 0, -10.02, -79.3, 35.28]","[0, 123, 131, 0, 396, -8.91, -79.97, 35.28]"
5,"[0, 0, 0, 0, 0, -14.12, -75.8, -35.28]","[0, 0, 0, 0, 0, -9.59, -79.63, 35.28]","[0, 126, 130, 0, 399, -9.29, -79.74, 35.28]"
6,"[0, 0, 0, 0, 0, -13.9, -76.13, -35.28]","[0, 0, 0, 0, 0, -9.3, -80.08, 35.28]","[0, 125, 127, 0, 406, -9.57, -79.14, 35.28]"
7,"[0, 0, 0, 2, 0, -13.63, -76.37, -35.28]","[0, 0, 0, 0, 0, -9.62, -79.87, 35.28]","[0, 125, 126, 0, 399, -8.95, -79.63, 35.28]"
8,"[0, 0, 0, 0, 0, -14.15, -75.82, -35.28]","[0, 0, 0, 0, 0, -8.47, -80.03, -35.28]","[0, 126, 123, 0, 412, -8.67, -80.05, 35.28]"
9,"[0, 0, 0, 2, 0, -13.4, -76.6, -35.28]","[0, 0, 0, 0, 0, -8.18, -67.26, -35.28]","[0, 124, 128, 0, 415, -7.65, -82.31, 35.28]"
10,"[0, 0, 0, 0, 0, -13.35, -76.66, -35.28]","[0, 0, 0, 0, 487, -4.95, -70.76, -35.28]","[0, 112, 56, 0, 390, -3.18, -80.59, -35.28]"
