,T1,T2,T3
0,"[0, 64, 0, 0, 0, -22.8, -66.5, -35.28]","[0, 0, 0, 0, 0, -18.24, -71.81, -35.28]","[0, 0, 0, 0, 0, -14.35, -74.52, -35.28]"
1,"[0, 65, 0, 0, 0, -23.13, -66.18, -35.28]","[0, 0, 0, 0, 0, -17.35, -72.54, -35.28]","[0, 0, 0, 0, 0, -15.03, -73.92, -35.28]"
2,"[0, 65, 0, 0, 0, -22.86, -66.27, -35.28]","[0, 0, 0, 0, 0, -17.9, -72.01, -35.28]","[0, 0, 0, 0, 0, -14.64, -74.18, -35.28]"
3,"[0, 65, 0, 0, 0, -23.23, -66.01, -35.28]","[0, 1, 0, 0, 0, -19.16, -70.85, -35.28]","[0, 0, 0, 0, 0, -14.15, -74.66, -35.28]"
4,"[0, 65, 0, 0, 0, -23.09, -66.25, -35.28]","[0, 0, 0, 0, 0, -17.6, -72.29, -35.28]","[0, 0, 0, 0, 0, -14.49, -74.29, -35.28]"
5,"[0, 65, 0, 0, 0, -23.25, -66.13, -35.28]","[0, 0, 0, 0, 0, -18.27, -71.69, -35.28]","[0, 0, 0, 0, 0, -14.47, -74.47, -35.28]"
6,"[0, 65, 0, 0, 0, -23.02, -66.25, -35.28]","[0, 0, 0, 0, 0, -18.57, -71.43, -35.28]","[0, 0, 0, 0, 0, -14.38, -74.38, -35.28]"
7,"[0, 65, 0, 0, 0, -22.53, -66.77, -35.28]","[0, 0, 0, 0, 0, -17.64, -71.89, -35.28]","[0, 0, 0, 0, 0, -13.73, -67.86, -35.28]"
8,"[0, 64, 0, 0, 0, -23.27, -66.05, -35.28]","[0, 0, 0, 0, 0, -15.98, -69.73, -35.28]","[0, 0, 0, 0, 0, -14.32, -51.92, -35.28]"
9,"[0, 65, 2, 0, 0, -22.92, -63.75, -35.28]","[0, 0, 0, 0, 0, -12.33, -54.26, -35.28]","[0, 0, 4, 0, 0, -13.74, -59.67, -35.28]"
10,"[0, 59, 0, 0, 0, -24.11, -49.39, -35.28]","[0, 0, 2, 0, 196, -10.87, -79.17, 35.28]","[0, 312, 0, 408, 591, -8.42, -77.82, 35.28]"
11,"[0, 63, 0, 0, 0, -19.93, -55.11, -35.28]","[0, 497, 0, 524, 667, 9.13, -48.01, 35.28]","[0, 534, 625, 519, 672, 12.44, -36.99, 35.28]"
12,"[0, 66, 4, 0, 452, -13.41, -76.6, 35.28]","[0, 419, 0, 589, 319, 6.34, -8.72, 35.28]","[0, 490, 0, 590, 356, 8.12, -17.66, 35.28]"
13,"[0, 409, 0, 618, 618, -2.32, -58.36, 35.28]","[0, 299, 0, 627, 245, 77.34, -8.0, -35.28]","[0, 488, 0, 650, 344, 26.9, -51.1, 35.28]"
14,"[0, 493, 0, 623, 326, -2.51, -30.04, 35.28]","[0, 435, 0, 680, 315, -26.81, -43.9, -35.28]","[0, 412, 0, 665, 674, -11.9, -36.95, -35.28]"
15,"[0, 511, 0, 591, 337, 11.72, -24.93, 35.28]","[0, 452, 0, 680, 686, 6.68, -80.6, 35.28]","[0, 510, 0, 678, 684, 1.24, -76.25, -35.28]"
16,"[0, 482, 1, 676, 311, 26.84, -42.21, 35.28]","[0, 223, 0, 682, 678, 12.16, -73.96, -35.28]","[0, 542, 0, 679, 680, -3.39, -62.76, -35.28]"
17,"[0, 378, 609, 669, 679, -0.03, -38.16, -35.28]","[0, 58, 528, 677, 651, 12.48, -77.05, -35.28]","[0, 523, 0, 675, 677, -12.53, -47.23, -35.28]"
18,"[0, 591, 609, 649, 689, -6.19, -65.55, -35.28]","[0, 80, 606, 681, 653, 11.09, -78.95, 35.28]","[0, 521, 0, 664, 0, 1.39, -29.99, -35.28]"
19,"[0, 401, 565, 684, 664, 5.26, -69.85, -35.28]","[0, 319, 489, 680, 656, -1.85, -80.17, -35.28]","[0, 600, 0, 661, 0, 26.7, -22.31, 35.28]"
20,"[0, 378, 602, 686, 656, 4.9, -67.03, -35.28]","[0, 429, 0, 675, 669, -1.35, -75.84, -35.28]","[0, 605, 0, 666, 610, -2.62, -26.52, 35.28]"
21,"[0, 431, 0, 679, 638, 13.3, -68.48, -35.28]","[0, 466, 0, 673, 0, 7.75, -82.29, 35.28]","[0, 603, 0, 669, 633, -34.99, -53.67, 35.28]"
22,"[0, 547, 0, 676, 642, 15.44, -71.55, -35.28]","[0, 519, 0, 668, 0, 9.23, -63.67, 35.28]","[0, 566, 0, 671, 613, -43.68, -46.1, 35.28]"
