,T1,T2,T3
0,"[0, 83, 0, 0, 0, -16.97, -73.07, -35.28]","[0, 163, 0, 0, 0, -13.51, -76.05, 35.28]","[0, 213, 0, 0, 0, -10.85, -78.07, 35.28]"
1,"[0, 87, 0, 0, 0, -16.42, -73.62, -35.28]","[0, 164, 0, 0, 0, -13.78, -75.86, 35.28]","[0, 212, 1, 0, 0, -11.21, -77.5, 35.28]"
2,"[0, 97, 0, 0, 0, -16.85, -73.19, -35.28]","[0, 166, 0, 0, 0, -13.23, -76.38, 35.28]","[0, 212, 0, 0, 0, -11.05, -77.75, 35.28]"
3,"[0, 100, 0, 0, 0, -16.66, -73.38, -35.28]","[0, 165, 0, 0, 0, -13.19, -76.53, 35.28]","[0, 211, 0, 0, 0, -10.78, -78.3, 35.28]"
4,"[0, 97, 0, 0, 0, -16.66, -73.38, -35.28]","[0, 163, 0, 0, 0, -13.34, -76.24, 35.28]","[0, 212, 0, 1, 0, -11.12, -77.68, 35.28]"
5,"[0, 92, 0, 0, 0, -16.98, -73.06, -35.28]","[0, 164, 0, 0, 0, -13.07, -76.44, 35.28]","[0, 212, 0, 0, 0, -10.62, -78.44, 35.28]"
6,"[0, 97, 0, 0, 0, -16.72, -73.32, -35.28]","[0, 164, 0, 0, 0, -13.49, -76.18, 35.28]","[0, 211, 0, 0, 0, -11.17, -77.61, 35.28]"
7,"[0, 99, 0, 0, 0, -16.55, -73.5, 35.28]","[0, 163, 0, 0, 0, -13.53, -76.1, 35.28]","[0, 212, 0, 0, 0, -10.68, -78.43, 35.28]"
8,"[0, 99, 0, 0, 0, -16.95, -73.09, 35.28]","[0, 163, 0, 0, 0, -13.31, -76.25, 35.28]","[0, 210, 0, 0, 0, -10.61, -78.02, 35.28]"
9,"[0, 98, 0, 0, 0, -16.63, -73.42, -35.28]","[0, 164, 0, 0, 0, -13.65, -75.85, 35.28]","[0, 211, 0, 0, 0, -10.32, -78.73, 35.28]"
10,"[0, 97, 0, 0, 0, -16.8, -73.24, -35.28]","[0, 163, 0, 0, 0, -13.07, -76.61, 35.28]","[0, 213, 0, 0, 0, -10.86, -78.07, 35.28]"
11,"[0, 91, 0, 0, 0, -16.58, -73.47, 35.28]","[0, 162, 0, 0, 0, -13.56, -76.17, 35.28]","[0, 210, 0, 0, 0, -10.94, -78.07, 35.28]"
12,"[0, 89, 0, 0, 0, -16.87, -73.18, -35.28]","[0, 162, 0, 2, 0, -13.37, -76.13, 35.28]","[0, 213, 0, 0, 0, -11.22, -77.83, 35.28]"
13,"[0, 97, 1, 0, 0, -17.02, -73.02, -35.28]","[0, 164, 0, 0, 0, -13.46, -76.2, 35.28]","[0, 209, 0, 0, 0, -10.06, -79.44, -35.28]"
14,"[0, 96, 0, 0, 0, -16.82, -73.22, nan]","[0, 164, 0, 0, 0, -13.68, -76.11, -35.28]","[0, 212, 0, 0, 0, -11.85, -76.15, -35.28]"
15,"[0, 97, 0, 0, 0, -16.48, -73.57, -35.28]","[0, 157, 0, 0, 0, -10.69, -76.34, -35.28]","[0, 285, 0, 0, 0, -9.41, -78.08, -35.28]"
16,"[0, 99, 0, 0, 0, -17.2, -72.82, -35.28]","[0, 258, 0, 0, 0, -12.65, -71.3, -35.28]","[0, 304, 0, 0, 0, -5.74, -82.35, -35.28]"
17,"[0, 99, 0, 0, 0, -16.92, -64.8, -35.28]","[0, 304, 0, 0, 0, -3.86, -79.72, -35.28]","[0, 316, 0, 0, 0, 2.78, -78.92, 35.28]"
18,"[0, 17, 1, 0, 0, -16.16, -64.57, -35.28]","[0, 317, 0, 0, 0, 5.88, -80.48, 35.28]","[0, 379, 43, 1, 0, 12.89, -51.04, 35.28]"
19,"[0, 0, 0, 0, 0, 4.67, -85.32, -35.28]","[0, 353, 0, 0, 0, 28.76, -39.65, 35.28]","[0, 413, 54, 0, 0, 43.36, 1.27, 35.28]"
20,"[0, 401, 0, 0, 0, 3.25, -70.58, 35.28]","[0, 380, 0, 0, 0, 47.36, 4.6, 35.28]","[0, 430, 15, 0, 0, 53.93, 32.89, 35.28]"
21,"[0, 519, 0, 0, 0, 30.74, -32.31, 35.28]","[0, 411, 0, 0, 0, 54.44, 31.71, 35.28]","[0, 441, 0, 0, 0, 62.33, 27.43, -35.28]"
22,"[0, 520, 130, 85, 0, 50.78, -6.46, 35.28]","[0, 428, 0, 0, 0, 59.84, 27.71, -35.28]","[0, 427, 0, 0, 0, 61.64, 22.89, -35.28]"
23,"[0, 496, 181, 378, 0, 70.09, 17.46, 35.28]","[0, 432, 0, 21, 0, 62.88, 6.69, -35.28]","[0, 422, 0, 0, 0, 24.38, 23.05, -35.28]"
24,"[0, 509, 166, 373, 0, 51.82, 29.9, -35.28]","[0, 432, 0, 190, 98, 40.65, 17.96, -35.28]","[0, 412, 22, 4, 0, 15.65, 5.95, -35.28]"
25,"[0, 508, 0, 355, 0, 58.97, 25.89, -35.28]","[0, 431, 12, 176, 101, 57.89, 9.02, -35.28]","[0, 410, 92, 8, 49, 5.38, 7.42, -35.28]"
26,"[0, 524, 0, 325, 0, 50.76, 20.31, -35.28]","[0, 432, 111, 189, 97, 9.66, -11.92, -35.28]","[0, 407, 98, 0, 0, 9.12, -4.41, -35.28]"
27,"[0, 545, 0, 330, 0, 52.84, 17.84, -35.28]","[0, 429, 95, 172, 0, 2.79, -14.41, -35.28]","[0, 393, 90, 0, 0, 18.12, -2.28, -35.28]"
28,"[0, 566, 187, 340, 0, 73.76, 12.16, -35.28]","[0, 425, 0, 0, 0, 7.04, 12.37, -35.28]","[0, 434, 0, 0, 0, 16.68, -4.27, -35.28]"
29,"[0, 561, 191, 342, 0, 41.81, 36.42, -35.28]","[0, 424, 0, 1, 0, 14.79, -9.96, -35.28]","[0, 443, 0, 0, 0, 22.66, -31.01, -35.28]"
30,"[0, 567, 192, 389, 0, 29.71, -12.52, -35.28]","[0, 422, 0, 0, 0, 38.15, -34.33, -35.28]","[0, 408, 0, 0, 0, 9.07, -47.28, -35.28]"
31,"[0, 571, 230, 416, 0, 0.32, -37.17, -35.28]","[0, 380, 0, 0, 0, 13.3, -45.24, -35.28]","[0, 281, 0, 0, 0, 8.58, -47.91, -35.28]"
32,"[0, 569, 202, 420, 0, 18.44, -15.98, -35.28]","[0, 355, 0, 0, 0, 6.88, -60.51, -35.28]","[0, 131, 0, 0, 0, 1.3, -76.98, -35.28]"
33,"[0, 519, 0, 325, 0, 3.14, -25.63, -35.28]","[0, 304, 0, 0, 0, 7.42, -68.21, -35.28]","[0, 266, 0, 0, 0, 7.4, -74.97, -35.28]"
34,"[0, 519, 0, 22, 0, 27.83, -17.15, -35.28]","[0, 260, 0, 0, 0, 1.03, -72.97, -35.28]","[0, 240, 0, 0, 0, 0.78, -83.47, -35.28]"
35,"[0, 466, 0, 0, 0, 24.93, -61.21, -35.28]","[0, 280, 0, 2, 0, 0.26, -85.07, -35.28]","[0, 268, 0, 0, 0, -0.17, -84.82, -35.28]"
36,"[0, 342, 0, 0, 0, 20.33, -68.59, -35.28]","[0, 294, 0, 0, 0, -2.37, -82.38, -35.28]","[0, 247, 0, 0, 0, -4.45, -82.83, -35.28]"
37,"[0, 258, 0, 0, 0, 14.93, -66.27, -35.28]","[0, 285, 0, 0, 0, -2.18, -86.83, -35.28]","[0, 143, 0, 1, 0, -6.58, -82.25, -35.28]"
38,"[0, 315, 0, 0, 0, 3.37, -76.89, -35.28]","[0, 250, 0, 0, 0, -4.64, -85.3, -35.28]","[0, 142, 1, 0, 0, -10.56, -77.82, -35.28]"
39,"[0, 353, 0, 0, 0, 4.67, -67.95, -35.28]","[0, 207, 0, 0, 0, -6.07, -83.9, 35.28]","[0, 146, 0, 0, 0, -9.1, -79.8, 35.28]"
40,"[0, 332, 0, 0, 0, -5.55, -68.22, -35.28]","[0, 207, 0, 0, 0, -9.67, -79.56, 35.28]","[0, 148, 0, 1, 0, -11.63, -78.28, 35.28]"
41,"[0, 286, 4, 0, 0, -5.91, -74.21, -35.28]","[0, 206, 0, 0, 0, -10.62, -78.97, 35.28]","[0, 146, 1, 0, 0, -9.4, -77.83, 35.28]"
42,"[0, 328, 0, 0, 0, -12.58, -76.48, -35.28]","[0, 198, 0, 0, 0, -9.58, -80.06, 35.28]","[0, 149, 133, 0, 0, -9.85, -78.71, 35.28]"
43,"[0, 304, 0, 0, 0, -15.31, -74.59, 35.28]","[0, 201, 0, 0, 0, -10.42, -78.68, 35.28]","[0, 148, 111, 0, 0, -11.49, -77.72, 35.28]"
44,"[0, 317, 0, 0, 0, -16.1, -73.86, 35.28]","[0, 198, 0, 0, 0, -11.01, -78.29, 35.28]","[0, 149, 59, 0, 0, -9.65, -79.43, 35.28]"
45,"[0, 311, 0, 0, 1, -12.66, -76.67, 35.28]","[0, 200, 0, 0, 0, -11.26, -77.87, 35.28]","[0, 149, 42, 0, 0, -10.32, -78.36, 35.28]"
46,"[0, 314, 0, 0, 0, -13.38, -76.3, 35.28]","[0, 199, 0, 0, 0, -11.73, -76.93, 35.28]","[0, 149, 0, 1, 0, -10.89, -77.63, 35.28]"
47,"[0, 325, 0, 0, 0, -12.55, -77.36, 35.28]","[0, 196, 0, 0, 0, -11.54, -76.93, 35.28]","[0, 151, 0, 1, 0, -10.86, -78.4, 35.28]"
48,"[0, 330, 0, 0, 0, -13.28, -76.69, 35.28]","[0, 201, 0, 0, 0, -11.26, -77.97, 35.28]","[0, 150, 0, 0, 0, -10.45, -78.83, 35.28]"
49,"[0, 336, 0, 0, 0, -14.55, -75.48, 35.28]","[0, 206, 0, 0, 0, -9.9, -79.44, 35.28]","[0, 151, 0, 0, 0, -11.13, -77.89, 35.28]"
