,T1,T2,T3
0,"[0, 61, 0, 0, 0, -15.07, -74.83, 35.28]","[0, 90, 0, 0, 0, -15.81, -74.13, 35.28]","[0, 100, 0, 0, 0, -15.39, -74.58, 35.28]"
1,"[0, 61, 0, 0, 0, -14.87, -75.0, 35.28]","[0, 87, 0, 0, 0, -15.91, -73.97, 35.28]","[0, 101, 0, 0, 0, -15.65, -74.28, 35.28]"
2,"[0, 61, 0, 0, 0, -15.0, -74.97, 35.28]","[0, 85, 0, 0, 0, -15.9, -73.97, 35.28]","[0, 101, 0, 0, 0, -15.51, -74.47, 35.28]"
3,"[0, 62, 0, 0, 0, -15.05, -74.86, 35.28]","[0, 84, 0, 0, 0, -15.67, -74.09, 35.28]","[0, 99, 0, 0, 0, -15.79, -74.14, 35.28]"
4,"[0, 61, 0, 0, 0, -15.66, -74.25, 35.28]","[0, 69, 0, 0, 0, -15.59, -74.27, 35.28]","[0, 102, 0, 0, 0, -15.7, -74.31, 35.28]"
5,"[0, 58, 0, 0, 0, -15.27, -74.65, 35.28]","[0, 72, 0, 0, 0, -15.71, -74.11, 35.28]","[0, 101, 0, 0, 0, -15.46, -74.49, 35.28]"
6,"[0, 60, 0, 0, 0, -15.04, -74.85, 35.28]","[0, 72, 0, 0, 0, -15.32, -74.55, 35.28]","[0, 101, 0, 0, 0, -15.53, -74.45, 35.28]"
7,"[0, 60, 0, 0, 0, -14.99, -74.9, 35.28]","[0, 75, 0, 0, 0, -15.52, -74.23, 35.28]","[0, 102, 0, 0, 0, -15.46, -74.51, 35.28]"
8,"[0, 60, 0, 0, 0, -15.22, -74.7, 35.28]","[0, 74, 0, 0, 0, -15.68, -74.17, 35.28]","[0, 101, 0, 0, 0, -15.75, -74.2, 35.28]"
9,"[0, 60, 0, 0, 0, -15.33, -74.46, 35.28]","[0, 71, 0, 0, 0, -15.16, -74.66, 35.28]","[0, 103, 0, 0, 0, -15.54, -74.44, 35.28]"
10,"[0, 61, 0, 0, 1, -14.44, -75.44, 35.28]","[0, 74, 0, 0, 0, -15.39, -74.45, 35.28]","[0, 103, 0, 0, 0, -15.78, -74.16, 35.28]"
11,"[0, 58, 0, 0, 0, -14.83, -74.96, 35.28]","[0, 62, 0, 0, 0, -15.5, -74.1, 35.28]","[0, 100, 0, 0, 0, -15.26, -74.76, 35.28]"
12,"[0, 42, 0, 0, 0, -14.87, -74.95, 35.28]","[0, 77, 0, 0, 0, -15.09, -74.74, 35.28]","[0, 102, 0, 0, 0, -14.98, -74.96, 35.28]"
13,"[0, 0, 0, 0, 0, -16.09, -73.14, -35.28]","[0, 76, 0, 0, 0, -15.39, -74.45, 35.28]","[0, 101, 0, 0, 0, -16.16, -73.76, 35.28]"
14,"[0, 0, 0, 0, 0, -7.93, -70.76, -35.28]","[0, 79, 0, 0, 0, -15.8, -73.88, 35.28]","[0, 100, 0, 0, 0, -15.14, -74.91, 35.28]"
15,"[0, 68, 288, 0, 58, -4.71, -61.94, -35.28]","[0, 63, 0, 0, 0, -15.35, -74.47, 35.28]","[0, 101, 0, 0, 0, -13.0, -76.18, -35.28]"
16,"[0, 87, 0, 387, 534, 0.99, -67.27, -35.28]","[0, 113, 0, 0, 0, -13.36, -76.36, -35.28]","[0, 95, 0, 0, 0, -11.69, -68.02, -35.28]"
17,"[0, 89, 0, 592, 639, 5.45, -73.88, -35.28]","[0, 0, 0, 0, 0, -9.84, -75.37, -35.28]","[0, 101, 0, 0, 0, -10.83, -66.19, -35.28]"
18,"[0, 0, 0, 671, 622, 10.49, -78.31, -35.28]","[0, 0, 268, 0, 0, -5.57, -66.37, -35.28]","[0, 116, 0, 423, 458, -8.3, -67.61, -35.28]"
19,"[0, 0, 1, 674, 634, 25.03, -62.94, -35.28]","[0, 0, 529, 326, 480, -6.78, -68.9, -35.28]","[0, 129, 0, 538, 600, -5.76, -68.8, -35.28]"
20,"[0, 1, 0, 677, 661, 57.15, -23.61, 35.28]","[0, 0, 2, 601, 645, -7.27, -79.03, -35.28]","[0, 119, 0, 647, 656, -2.64, -77.43, -35.28]"
