,T1,T2,T3
0,"[0, 0, 105, 0, 0, -17.77, -70.43, 35.28]","[0, 0, 121, 0, 0, -17.24, -72.66, 35.28]","[0, 0, 60, 0, 0, -14.54, -75.47, 35.28]"
1,"[0, 0, 105, 0, 0, -17.43, -70.63, 35.28]","[0, 0, 119, 0, 0, -17.36, -72.46, 35.28]","[0, 0, 60, 0, 0, -13.55, -76.48, 35.28]"
2,"[0, 0, 104, 0, 0, -17.9, -70.33, 35.28]","[0, 0, 119, 0, 0, -17.61, -72.25, 35.28]","[0, 0, 61, 0, 0, -13.85, -76.19, 35.28]"
3,"[0, 0, 105, 0, 0, -17.78, -70.26, 35.28]","[0, 0, 121, 0, 0, -17.06, -72.84, 35.28]","[0, 0, 72, 0, 0, -14.41, -75.51, 35.28]"
4,"[0, 0, 102, 0, 0, -17.47, -70.6, 35.28]","[0, 0, 120, 0, 0, -17.31, -72.58, 35.28]","[0, 0, 77, 0, 0, -13.94, -75.98, 35.28]"
5,"[0, 0, 104, 0, 0, -17.34, -70.55, 35.28]","[0, 0, 118, 0, 0, -17.03, -72.88, 35.28]","[0, 0, 77, 0, 0, -13.11, -76.92, 35.28]"
6,"[0, 1, 104, 0, 0, -17.79, -70.36, 35.28]","[0, 0, 123, 0, 0, -16.98, -72.94, 35.28]","[0, 0, 75, 0, 0, -14.76, -75.18, 35.28]"
7,"[0, 0, 103, 0, 0, -17.8, -70.29, 35.28]","[0, 0, 120, 0, 0, -17.03, -72.85, 35.28]","[0, 0, 75, 0, 0, -13.26, -76.76, 35.28]"
8,"[0, 0, 87, 0, 0, -17.31, -70.58, 35.28]","[0, 0, 127, 0, 0, -17.62, -72.3, 35.28]","[0, 0, 76, 0, 0, -13.87, -76.13, 35.28]"
9,"[0, 0, 91, 0, 0, -16.76, -71.99, 35.28]","[0, 0, 128, 0, 0, -17.18, -72.77, 35.28]","[0, 0, 78, 0, 0, -13.17, -76.85, -35.28]"
10,"[0, 0, 87, 0, 0, -14.72, -74.94, 35.28]","[0, 0, 132, 0, 0, -16.71, -73.24, 35.28]","[0, 0, 81, 0, 0, -11.81, -73.38, -35.28]"
11,"[0, 0, 1, 0, 0, -14.44, -75.16, -35.28]","[0, 0, 142, 0, 0, -17.0, -72.89, 35.28]","[0, 0, 0, 0, 0, -13.13, -71.12, -35.28]"
12,"[0, 0, 0, 0, 0, -17.59, -66.6, -35.28]","[0, 0, 128, 0, 0, -16.27, -73.76, -35.28]","[0, 57, 0, 0, 0, -8.57, -72.39, -35.28]"
13,"[0, 0, 394, 0, 296, -11.67, -75.78, -35.28]","[0, 0, 118, 0, 0, -13.69, -74.96, -35.28]","[0, 210, 0, 0, 0, 1.14, -76.58, -35.28]"
14,"[0, 0, 0, 132, 592, -8.79, -73.88, -35.28]","[0, 0, 0, 0, 0, -16.09, -66.55, -35.28]","[0, 298, 0, 0, 481, 8.2, -78.97, -35.28]"
15,"[0, 205, 0, 506, 656, -2.39, -82.52, -35.28]","[0, 0, 0, 0, 0, -7.36, -73.59, -35.28]","[0, 151, 0, 0, 557, -3.19, -39.97, 35.28]"
16,"[0, 334, 0, 606, 673, 6.4, -79.51, 35.28]","[0, 1, 0, 0, 517, -0.31, -72.41, -35.28]","[0, 0, 0, 509, 625, 13.39, -6.36, 35.28]"
17,"[0, 212, 0, 653, 680, 22.19, -23.44, 35.28]","[0, 184, 0, 272, 602, 8.98, -68.92, -35.28]","[0, 0, 0, 538, 642, 31.37, 31.04, 35.28]"
18,"[0, 217, 0, 655, 681, 26.57, 20.75, 35.28]","[0, 323, 0, 506, 629, 17.77, -65.04, -35.28]","[0, 0, 0, 658, 655, 22.6, 63.39, 35.28]"
19,"[0, 170, 0, 662, 679, 17.93, 63.43, 35.28]","[0, 178, 1, 537, 646, 35.16, -43.54, 35.28]","[0, 8, 0, 637, 669, 24.6, 62.47, 35.28]"
20,"[0, 142, 0, 662, 665, 15.93, 66.31, 35.28]","[0, 0, 0, 606, 651, 40.63, -7.14, 35.28]","[0, 270, 0, 668, 674, 31.73, 57.43, 35.28]"
21,"[0, 0, 0, 663, 667, 31.5, 54.83, 35.28]","[0, 0, 0, 520, 650, 26.89, 47.84, 35.28]","[0, 364, 651, 666, 672, 15.22, 73.99, -35.28]"
22,"[0, 131, 0, 665, 675, 23.18, 66.42, -35.28]","[0, 0, 1, 634, 652, 27.48, 60.99, 35.28]","[0, 432, 0, 667, 667, -21.5, 68.53, 35.28]"
23,"[0, 0, 0, 674, 669, -3.5, 85.36, 35.28]","[0, 0, 4, 649, 649, 38.55, 51.33, 35.28]","[0, 511, 0, 680, 669, -20.98, -1.52, 35.28]"
24,"[0, 0, 0, 679, 660, -45.01, -1.05, 35.28]","[0, 280, 0, 648, 658, 40.36, 48.85, 35.28]","[0, 541, 0, 678, 649, 21.18, -39.9, 35.28]"
25,"[0, 0, 0, 672, 645, -3.56, -38.44, 35.28]","[0, 183, 0, 655, 628, -0.79, 88.19, -35.28]","[0, 534, 0, 679, 657, 14.0, -67.41, 35.28]"
26,"[0, 150, 0, 666, 658, 8.53, -64.17, 35.28]","[0, 46, 0, 664, 616, -25.41, 20.81, 35.28]","[0, 551, 0, 678, 655, 15.92, -60.87, 35.28]"
