THUMB,INDEX,MIDDLE,HEART,PINKY,ACCELERATION,LETTER
0,661,661,664,613,-2412,A
0,668,661,656,613,-3788,A
0,657,594,642,627,-3316,A
0,668,662,662,547,-4404,A
0,661,648,656,612,-4748,A
0,662,654,660,615,-5584,A
0,662,659,651,566,-5860,A
0,666,659,665,525,-5100,A
0,659,652,659,619,-3228,A
3,670,661,659,621,-5064,A
0,665,662,665,614,-4364,A
0,665,660,665,605,-3816,A
0,668,661,667,608,-3580,A
0,662,658,662,620,-3756,A
0,659,658,665,611,-2228,A
0,662,657,655,597,-5396,A
1,660,655,662,617,-4136,A
0,663,662,667,600,-3464,A
0,635,628,635,570,-1932,A
0,630,628,638,597,-2420,A
0,645,649,654,583,-4456,A
0,638,639,650,566,-2652,A
0,649,654,648,540,-3328,A
0,656,646,653,576,-4628,A
3,661,658,662,568,-5552,A
0,662,661,663,579,-3712,A
0,651,649,657,592,-3020,A
0,650,632,646,623,-3236,A
0,662,656,665,586,-2604,A
0,662,654,656,597,-1900,A
0,664,654,666,609,-2656,A
0,652,656,657,582,-4140,A
0,655,650,659,612,-2904,A
0,659,659,659,537,-4036,A
0,658,656,663,541,-2760,A
0,657,657,663,607,-2148,A
0,651,629,652,621,-4008,A
0,652,658,652,628,-4996,A
0,659,656,657,522,-4284,A
0,662,657,663,586,-4300,A
0,658,655,660,605,-4756,A
0,662,656,660,595,-4280,A
0,656,663,663,624,-4344,A
0,661,659,664,606,-4472,A
0,663,659,659,621,-2984,A
0,655,654,663,588,-5864,A
0,649,655,658,550,-4720,A
0,663,657,665,597,-3516,A
0,662,658,665,569,-4900,A
0,661,659,664,606,-4472,A
