THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER
481.0,544.0,627.0,671.0,653.0,65.84,0.75,E
0.0,611.0,639.0,672.0,645.0,63.2,-3.63,E
444.0,300.0,552.0,672.0,644.0,62.34,-16.22,E
455.0,550.0,633.0,667.0,632.0,56.02,-5.98,E
0.0,0.0,17.0,172.0,49.0,40.94,-10.51,E
0.0,0.0,0.0,0.0,0.0,26.31,-13.62,E
0.0,97.0,404.0,265.0,0.0,36.72,-15.97,E
295.0,629.0,560.0,636.0,653.0,56.84,-3.85,E
314.0,583.0,596.0,669.0,626.0,51.16,-10.68,E
473.0,568.0,612.0,632.0,546.0,52.32,-10.51,E
344.0,529.0,623.0,629.0,615.0,53.89,-9.32,E
155.0,422.0,618.0,661.0,575.0,51.17,-8.14,E
3.0,0.0,169.0,286.0,0.0,26.51,-16.14,E
367.0,570.0,538.0,639.0,507.0,46.72,-11.87,E
338.0,518.0,626.0,666.0,649.0,52.5,-11.91,E
304.0,588.0,634.0,664.0,539.0,44.32,-14.57,E
377.0,632.0,604.0,655.0,642.0,56.58,-10.16,E
0.0,266.0,222.0,492.0,257.0,22.63,-23.57,E
172.0,339.0,592.0,625.0,76.0,53.01,-16.81,E
308.0,631.0,595.0,647.0,662.0,52.32,-11.83,E
0.0,382.0,0.0,306.0,419.0,3.64,-39.24,E
54.0,2.0,0.0,0.0,0.0,30.4,-26.2,E
244.0,0.0,600.0,658.0,609.0,46.99,-16.13,E
374.0,613.0,644.0,671.0,646.0,53.03,-9.97,E
0.0,427.0,550.0,633.0,567.0,51.31,-16.71,E
268.0,0.0,80.0,79.0,0.0,25.8,-19.27,E
317.0,0.0,611.0,660.0,582.0,50.74,-12.47,E
361.0,602.0,619.0,666.0,640.0,55.66,-8.64,E
0.0,0.0,314.0,311.0,48.0,20.5,-21.8,E
0.0,146.0,557.0,615.0,226.0,45.44,-11.36,E
249.0,485.0,639.0,671.0,635.0,49.53,-16.26,E
404.0,548.0,627.0,672.0,611.0,51.42,-17.05,E
402.0,139.0,624.0,652.0,515.0,48.1,-15.78,E
0.0,94.0,201.0,239.0,0.0,47.18,-19.1,E
85.0,0.0,545.0,261.0,0.0,51.42,-23.62,E
400.0,464.0,626.0,670.0,639.0,61.55,-0.57,E
370.0,591.0,580.0,670.0,626.0,60.28,-6.71,E
292.0,3.0,583.0,657.0,447.0,67.14,-12.08,E
297.0,593.0,611.0,638.0,570.0,61.66,-12.91,E
0.0,0.0,0.0,0.0,0.0,36.47,-29.37,E
318.0,403.0,574.0,636.0,469.0,53.94,7.46,E
355.0,557.0,586.0,581.0,0.0,70.61,1.82,E
389.0,582.0,636.0,669.0,578.0,72.15,3.44,E
389.0,570.0,637.0,657.0,567.0,71.97,4.7,E
335.0,306.0,636.0,664.0,527.0,71.2,3.85,E
321.0,324.0,639.0,665.0,578.0,75.19,4.42,E
348.0,579.0,628.0,639.0,513.0,63.97,-15.6,E
2.0,176.0,0.0,206.0,0.0,70.82,-5.44,E
266.0,0.0,601.0,332.0,0.0,64.28,-10.35,E
0.0,0.0,4.0,379.0,1.0,46.21,-18.92,E
0.0,550.0,628.0,657.0,646.0,71.09,-5.52,E
59.0,635.0,634.0,663.0,650.0,77.12,-0.81,E
0.0,629.0,638.0,669.0,657.0,78.63,-2.9,E
342.0,637.0,642.0,665.0,660.0,80.4,-3.37,E
0.0,626.0,631.0,666.0,655.0,85.9,-0.89,E
0.0,623.0,632.0,660.0,650.0,66.31,-6.65,E
54.0,629.0,631.0,665.0,660.0,75.64,-2.79,E
0.0,618.0,652.0,659.0,649.0,75.24,-3.29,E
0.0,628.0,620.0,657.0,651.0,82.69,-4.91,E
0.0,596.0,607.0,661.0,657.0,85.37,-2.96,E
0.0,599.0,610.0,654.0,648.0,80.09,-9.01,E
0.0,613.0,557.0,659.0,649.0,70.96,-12.82,E
0.0,609.0,611.0,656.0,643.0,75.55,-9.87,E
0.0,616.0,601.0,654.0,645.0,75.26,-9.57,E
0.0,624.0,604.0,659.0,628.0,75.33,-8.38,E
175.0,619.0,609.0,598.0,551.0,72.14,-11.62,E
0.0,636.0,618.0,666.0,654.0,78.93,-3.56,E
0.0,626.0,600.0,661.0,654.0,70.45,-7.52,E
0.0,626.0,620.0,658.0,653.0,69.3,-9.74,E
0.0,634.0,613.0,655.0,645.0,78.06,-8.6,E
0.0,593.0,604.0,658.0,650.0,79.65,-2.97,E
0.0,623.0,625.0,658.0,643.0,73.39,-8.88,E
0.0,628.0,632.0,659.0,634.0,77.52,-3.69,E
0.0,598.0,619.0,662.0,654.0,75.96,-5.12,E
0.0,479.0,631.0,656.0,635.0,74.07,-7.2,E
0.0,454.0,622.0,661.0,646.0,68.98,-5.3,E
0.0,562.0,622.0,664.0,648.0,70.81,-5.17,E
146.0,467.0,631.0,662.0,649.0,63.78,-8.13,E
171.0,570.0,625.0,664.0,648.0,61.82,-11.81,E
0.0,534.0,633.0,654.0,638.0,65.3,-7.13,E
367.0,633.0,628.0,660.0,648.0,66.37,-6.76,E
338.0,631.0,626.0,663.0,652.0,71.64,-4.93,E
254.0,584.0,589.0,648.0,605.0,69.58,-6.75,E
246.0,436.0,304.0,100.0,539.0,23.42,-43.55,E
