THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER,BUTTON
441.0,468.0,655.0,672.0,657.0,52.59,-29.89,I,0
253.0,426.0,648.0,671.0,647.0,72.65,-10.0,I,0
277.0,0.0,619.0,675.0,662.0,74.91,-13.18,I,0
550.0,0.0,596.0,674.0,668.0,75.07,-13.32,I,0
280.0,0.0,480.0,673.0,640.0,70.14,-19.8,I,0
404.0,159.0,549.0,671.0,659.0,77.07,-12.06,I,0
498.0,0.0,640.0,665.0,640.0,76.74,-13.13,I,0
280.0,0.0,591.0,675.0,656.0,74.0,-15.81,I,0
297.0,330.0,601.0,678.0,652.0,70.88,-18.6,I,0
496.0,178.0,572.0,681.0,664.0,74.32,-15.58,I,0
507.0,171.0,631.0,675.0,662.0,73.61,-15.02,I,0
444.0,0.0,588.0,668.0,654.0,74.15,-13.6,I,0
0.0,157.0,644.0,659.0,655.0,69.35,-6.91,I,0
1.0,0.0,0.0,347.0,242.0,60.28,-29.65,I,0
227.0,259.0,1.0,591.0,456.0,72.18,-17.64,I,0
248.0,190.0,648.0,639.0,626.0,80.06,-9.25,I,0
57.0,249.0,614.0,675.0,656.0,78.3,-11.57,I,0
122.0,207.0,542.0,636.0,623.0,82.14,-7.9,I,0
0.0,0.0,545.0,590.0,547.0,71.37,-18.21,I,0
43.0,0.0,301.0,472.0,296.0,61.41,-25.87,I,0
0.0,0.0,212.0,0.0,0.0,57.94,-31.5,I,0
88.0,161.0,616.0,636.0,640.0,72.98,-4.51,I,0
283.0,176.0,645.0,664.0,649.0,81.72,-7.95,I,0
0.0,0.0,534.0,544.0,454.0,74.63,-14.61,I,0
0.0,0.0,485.0,0.0,1.0,67.42,-17.65,I,0
0.0,0.0,437.0,488.0,201.0,61.81,-28.21,I,0
0.0,147.0,488.0,271.0,164.0,58.26,-25.8,I,0
0.0,0.0,0.0,367.0,291.0,53.41,-34.21,I,0
0.0,0.0,214.0,0.0,0.0,64.21,-25.31,I,0
0.0,0.0,427.0,486.0,192.0,52.18,-33.25,I,0
0.0,0.0,390.0,563.0,253.0,52.76,-29.45,I,0
0.0,0.0,1.0,485.0,286.0,50.26,-34.57,I,0
0.0,0.0,5.0,0.0,0.0,56.29,-29.53,I,0
0.0,0.0,584.0,530.0,301.0,78.21,-10.69,I,0
0.0,0.0,404.0,0.0,0.0,67.34,-21.98,I,0
0.0,0.0,352.0,469.0,413.0,58.68,-20.96,I,0
238.0,0.0,619.0,627.0,606.0,76.52,-13.27,I,0
393.0,263.0,635.0,664.0,629.0,81.67,-7.7,I,0
0.0,476.0,625.0,648.0,629.0,76.25,-13.6,I,0
308.0,315.0,0.0,665.0,625.0,83.73,-5.68,I,0
418.0,370.0,5.0,658.0,638.0,77.73,-12.13,I,0
510.0,250.0,0.0,672.0,649.0,79.23,-10.81,I,0
367.0,344.0,0.0,631.0,585.0,70.94,-18.32,I,0
0.0,0.0,0.0,629.0,609.0,76.05,-13.74,I,0
190.0,0.0,549.0,652.0,603.0,77.14,-6.88,I,0
436.0,0.0,594.0,664.0,618.0,79.9,-7.88,I,0
81.0,288.0,640.0,671.0,622.0,79.32,-10.61,I,0
452.0,396.0,338.0,620.0,604.0,85.01,-4.96,I,0
502.0,379.0,625.0,664.0,638.0,82.2,-7.24,I,0
425.0,293.0,188.0,675.0,645.0,76.33,-13.71,I,0
437.0,241.0,655.0,678.0,671.0,80.83,-2.82,I,0
158.0,0.0,416.0,348.0,495.0,59.14,-30.41,I,0
389.0,0.0,648.0,681.0,674.0,86.68,-1.85,I,0
495.0,0.0,660.0,681.0,669.0,80.71,-0.05,I,0
0.0,0.0,633.0,651.0,487.0,73.66,1.15,I,0
451.0,0.0,651.0,678.0,669.0,79.08,-3.42,I,0
266.0,561.0,654.0,676.0,667.0,78.54,-4.92,I,0
377.0,496.0,622.0,674.0,658.0,77.83,-7.1,I,0
462.0,138.0,654.0,680.0,670.0,75.69,-1.03,I,0
503.0,0.0,654.0,682.0,679.0,76.66,-0.58,I,0
477.0,0.0,655.0,681.0,663.0,76.93,-5.19,I,0
0.0,129.0,658.0,677.0,664.0,78.7,-3.56,I,0
472.0,0.0,636.0,675.0,664.0,81.07,-6.83,I,0
456.0,201.0,625.0,674.0,665.0,79.89,-7.75,I,0
281.0,142.0,649.0,680.0,665.0,78.22,-8.04,I,0
395.0,0.0,625.0,666.0,675.0,77.27,-6.63,I,0
355.0,137.0,627.0,671.0,655.0,77.08,-7.61,I,0
281.0,0.0,623.0,666.0,660.0,78.2,-7.24,I,0
386.0,234.0,632.0,668.0,654.0,80.32,-6.42,I,0
548.0,255.0,628.0,669.0,637.0,82.21,-6.3,I,0
449.0,0.0,640.0,679.0,667.0,82.26,-5.62,I,0
346.0,243.0,632.0,670.0,657.0,79.61,-6.54,I,0
346.0,229.0,624.0,674.0,662.0,80.9,-6.83,I,0
457.0,484.0,647.0,679.0,675.0,77.66,-6.21,I,0
427.0,142.0,642.0,672.0,663.0,78.17,-5.38,I,0
374.0,288.0,563.0,668.0,647.0,79.05,-4.42,I,0
