THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER,BUTTON
550.0,654.0,142.0,263.0,0.0,78.08,11.62,O,0
321.0,561.0,125.0,0.0,0.0,76.32,11.79,O,0
494.0,603.0,177.0,0.0,0.0,68.25,11.49,O,0
483.0,615.0,284.0,0.0,0.0,67.74,9.55,O,0
106.0,291.0,118.0,156.0,0.0,35.34,-13.09,O,0
0.0,600.0,2.0,0.0,1.0,65.43,-1.91,O,0
355.0,565.0,202.0,0.0,0.0,72.12,1.31,O,0
398.0,603.0,376.0,1.0,0.0,73.12,-5.48,O,0
282.0,551.0,0.0,0.0,0.0,67.76,-9.43,O,0
295.0,528.0,20.0,0.0,0.0,73.58,-4.07,O,0
352.0,561.0,0.0,0.0,0.0,86.41,0.04,O,0
277.0,412.0,123.0,126.0,0.0,52.06,-13.34,O,0
208.0,307.0,0.0,0.0,0.0,84.56,-0.38,O,0
0.0,199.0,232.0,155.0,0.0,51.93,-19.59,O,0
0.0,532.0,161.0,0.0,0.0,78.6,-4.95,O,0
277.0,531.0,182.0,0.0,0.0,81.99,-1.28,O,0
176.0,533.0,211.0,0.0,0.0,79.54,-3.23,O,0
200.0,459.0,0.0,0.0,0.0,81.13,-3.81,O,0
0.0,247.0,0.0,0.0,0.0,70.19,-9.78,O,0
1.0,316.0,96.0,122.0,0.0,67.24,-10.3,O,0
0.0,0.0,137.0,335.0,0.0,57.03,-16.27,O,0
0.0,73.0,127.0,147.0,0.0,54.1,-17.57,O,0
0.0,443.0,247.0,1.0,0.0,83.78,-5.41,O,0
232.0,544.0,162.0,0.0,0.0,86.65,2.22,O,0
0.0,504.0,0.0,1.0,0.0,89.22,0.73,O,0
0.0,381.0,92.0,138.0,0.0,57.27,-12.19,O,0
350.0,638.0,114.0,0.0,0.0,67.87,-9.8,O,0
319.0,600.0,83.0,0.0,1.0,82.39,-4.46,O,0
2.0,234.0,114.0,0.0,0.0,62.91,-13.66,O,0
0.0,206.0,0.0,0.0,0.0,76.73,-9.33,O,0
365.0,597.0,0.0,0.0,0.0,78.89,-9.28,O,0
201.0,288.0,0.0,246.0,0.0,85.03,-2.75,O,0
0.0,292.0,72.0,246.0,0.0,51.84,-19.44,O,0
0.0,390.0,0.0,0.0,0.0,71.51,-12.75,O,0
0.0,417.0,93.0,234.0,0.0,66.12,-16.22,O,0
0.0,343.0,0.0,0.0,0.0,82.32,-7.41,O,0
0.0,561.0,28.0,0.0,0.0,81.75,-8.28,O,0
462.0,645.0,0.0,0.0,0.0,81.78,-8.23,O,0
203.0,614.0,49.0,0.0,0.0,81.93,-7.79,O,0
167.0,601.0,0.0,0.0,0.0,81.0,-9.0,O,0
394.0,630.0,37.0,27.0,0.0,85.05,-4.82,O,0
498.0,668.0,16.0,0.0,0.0,83.67,-0.55,O,0
471.0,628.0,185.0,0.0,0.0,78.84,-5.84,O,0
0.0,475.0,0.0,262.0,0.0,81.21,-7.96,O,0
173.0,350.0,132.0,127.0,0.0,54.89,-19.46,O,0
0.0,0.0,0.0,0.0,0.0,54.8,-22.43,O,0
0.0,473.0,142.0,0.0,0.0,78.48,-8.84,O,0
563.0,660.0,28.0,0.0,0.0,76.36,-8.86,O,0
155.0,467.0,44.0,0.0,0.0,54.44,-20.67,O,0
627.0,671.0,0.0,0.0,0.0,74.84,-10.42,O,0
0.0,631.0,0.0,0.0,0.0,83.33,-3.85,O,0
375.0,642.0,0.0,0.0,385.0,81.76,-6.74,O,0
