THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER
447.0,352.0,584.0,660.0,0.0,46.69,-38.05,U
378.0,244.0,583.0,657.0,0.0,46.81,-38.95,U
323.0,358.0,584.0,660.0,0.0,45.08,-41.38,U
204.0,18.0,376.0,158.0,0.0,56.3,-32.05,U
0.0,0.0,0.0,447.0,0.0,37.03,-49.52,U
0.0,349.0,642.0,635.0,0.0,37.37,-46.95,U
0.0,165.0,441.0,185.0,0.0,37.64,-44.71,U
65.0,341.0,545.0,640.0,0.0,42.09,-41.26,U
238.0,276.0,565.0,636.0,0.0,35.1,-48.56,U
0.0,319.0,522.0,594.0,0.0,30.81,-52.0,U
0.0,341.0,577.0,607.0,0.0,38.71,-45.22,U
0.0,50.0,605.0,626.0,0.0,42.55,-45.53,U
316.0,507.0,659.0,670.0,0.0,51.06,-38.14,U
0.0,354.0,570.0,627.0,0.0,40.9,-46.93,U
0.0,0.0,441.0,0.0,0.0,40.47,-48.87,U
264.0,378.0,600.0,622.0,0.0,35.98,-53.78,U
0.0,51.0,479.0,595.0,0.0,35.66,-50.41,U
54.0,95.0,496.0,193.0,0.0,44.47,-44.81,U
0.0,289.0,559.0,648.0,0.0,42.04,-43.35,U
180.0,236.0,586.0,655.0,0.0,43.81,-30.38,U
0.0,370.0,559.0,646.0,0.0,43.42,-31.55,U
175.0,276.0,622.0,654.0,0.0,42.39,-31.83,U
173.0,0.0,611.0,643.0,0.0,43.92,-32.09,U
0.0,228.0,549.0,657.0,1.0,44.94,-31.7,U
171.0,287.0,488.0,531.0,1.0,44.54,-36.34,U
170.0,179.0,631.0,657.0,0.0,43.33,-34.05,U
0.0,69.0,593.0,671.0,0.0,45.75,-31.77,U
0.0,318.0,596.0,648.0,0.0,44.29,-36.94,U
242.0,381.0,606.0,652.0,0.0,38.36,-35.94,U
319.0,259.0,603.0,662.0,0.0,33.08,-37.88,U
0.0,0.0,299.0,201.0,0.0,38.17,-42.96,U
0.0,217.0,468.0,160.0,0.0,42.75,-36.49,U
0.0,283.0,433.0,600.0,0.0,32.53,-36.73,U
0.0,241.0,492.0,0.0,153.0,39.17,-43.23,U
0.0,196.0,481.0,244.0,0.0,41.51,-40.98,U
49.0,0.0,0.0,217.0,0.0,44.9,-39.11,U
542.0,0.0,585.0,621.0,0.0,52.89,-23.18,U
416.0,320.0,601.0,112.0,0.0,40.36,-42.39,U
0.0,166.0,608.0,654.0,0.0,47.24,-33.7,U
508.0,0.0,650.0,673.0,0.0,39.81,-33.33,U
0.0,0.0,596.0,670.0,0.0,45.95,-31.26,U
204.0,240.0,588.0,627.0,0.0,40.75,-30.84,U
0.0,0.0,621.0,633.0,0.0,42.91,-34.71,U
0.0,209.0,628.0,615.0,0.0,50.99,-29.63,U
0.0,107.0,619.0,641.0,0.0,39.27,-36.39,U
0.0,230.0,525.0,0.0,206.0,44.32,-35.44,U
1.0,0.0,572.0,433.0,0.0,44.0,-36.02,U
0.0,0.0,628.0,656.0,0.0,39.09,-40.04,U
0.0,347.0,620.0,351.0,0.0,43.35,-40.69,U
285.0,173.0,593.0,573.0,0.0,40.89,-38.28,U
0.0,0.0,617.0,652.0,0.0,74.11,-6.64,U
460.0,0.0,617.0,674.0,0.0,72.12,-5.87,U
191.0,0.0,612.0,663.0,0.0,72.63,-9.04,U
382.0,0.0,620.0,662.0,0.0,72.95,-11.48,U
256.0,0.0,590.0,665.0,0.0,69.88,-11.59,U
492.0,0.0,569.0,659.0,0.0,63.8,-17.61,U
369.0,0.0,574.0,666.0,0.0,68.48,-13.39,U
0.0,0.0,581.0,665.0,0.0,67.69,-12.23,U
489.0,137.0,553.0,650.0,0.0,68.98,-11.39,U
402.0,0.0,596.0,667.0,0.0,65.32,-12.39,U
513.0,0.0,563.0,668.0,0.0,66.61,-10.85,U
447.0,0.0,558.0,663.0,0.0,63.31,-13.43,U
576.0,1.0,581.0,655.0,0.0,63.24,-16.69,U
227.0,37.0,600.0,673.0,0.0,67.96,-15.95,U
412.0,0.0,559.0,651.0,0.0,69.13,-14.56,U
531.0,0.0,572.0,652.0,0.0,67.78,-15.27,U
538.0,0.0,575.0,622.0,0.0,63.37,-19.21,U
516.0,137.0,539.0,655.0,0.0,63.85,-17.47,U
608.0,0.0,577.0,642.0,0.0,63.57,-22.37,U
544.0,0.0,584.0,671.0,0.0,68.01,-17.91,U
516.0,38.0,574.0,661.0,0.0,68.24,-15.53,U
555.0,0.0,578.0,618.0,0.0,65.45,-15.14,U
512.0,0.0,558.0,646.0,0.0,56.79,-14.16,U
544.0,38.0,589.0,623.0,0.0,67.08,-14.1,U
589.0,37.0,594.0,655.0,0.0,60.74,-19.46,U
511.0,0.0,616.0,589.0,0.0,65.96,-19.29,U
602.0,41.0,569.0,624.0,0.0,64.72,-19.85,U
531.0,137.0,568.0,568.0,618.0,59.51,-19.92,U
482.0,38.0,588.0,661.0,0.0,66.98,-18.72,U
564.0,37.0,611.0,664.0,0.0,71.55,-15.47,U
552.0,37.0,572.0,661.0,0.0,66.11,-16.76,U
562.0,37.0,578.0,659.0,0.0,63.97,-19.19,U
594.0,37.0,567.0,649.0,0.0,67.53,-18.31,U
594.0,35.0,576.0,662.0,0.0,59.96,-14.76,U
614.0,153.0,569.0,645.0,0.0,65.67,-21.35,U
603.0,153.0,555.0,638.0,0.0,64.75,-21.83,U
547.0,37.0,607.0,665.0,0.0,66.8,-18.94,U
569.0,36.0,614.0,659.0,0.0,65.53,-20.73,U
516.0,0.0,609.0,633.0,0.0,68.5,-19.05,U
583.0,100.0,576.0,653.0,0.0,72.17,-16.65,U
544.0,0.0,589.0,626.0,0.0,58.31,-15.26,U
439.0,39.0,617.0,671.0,0.0,71.39,-9.57,U
474.0,0.0,606.0,660.0,0.0,72.09,-9.2,U
469.0,27.0,632.0,665.0,0.0,64.1,-13.29,U
469.0,37.0,623.0,664.0,0.0,67.21,-12.47,U
441.0,0.0,620.0,652.0,0.0,65.19,-17.14,U
574.0,0.0,634.0,670.0,0.0,66.92,-14.15,U
442.0,34.0,620.0,660.0,0.0,69.08,-11.51,U
433.0,34.0,617.0,666.0,0.0,72.2,-9.35,U
393.0,37.0,644.0,667.0,0.0,73.78,-10.82,U
1.0,339.0,641.0,641.0,0.0,57.9,-11.81,U
258.0,328.0,6.0,673.0,125.0,58.82,-11.31,U
0.0,33.0,510.0,672.0,0.0,55.15,-12.48,U
0.0,278.0,0.0,669.0,112.0,49.74,-15.62,U
318.0,374.0,654.0,670.0,148.0,60.73,-11.62,U
124.0,190.0,621.0,668.0,0.0,62.82,-19.3,U
1.0,263.0,326.0,146.0,0.0,65.96,-16.75,U
0.0,261.0,592.0,629.0,0.0,59.14,-16.06,U
516.0,193.0,625.0,664.0,0.0,60.58,-14.44,U
452.0,0.0,546.0,678.0,0.0,55.32,-14.75,U
379.0,0.0,652.0,676.0,0.0,52.36,-15.92,U
1.0,181.0,613.0,652.0,0.0,61.02,-15.06,U
280.0,213.0,639.0,663.0,0.0,61.68,-15.64,U
0.0,259.0,641.0,657.0,0.0,60.69,-14.74,U
0.0,262.0,0.0,666.0,0.0,62.39,-15.73,U
1.0,214.0,636.0,651.0,0.0,62.11,-19.5,U
0.0,342.0,637.0,649.0,0.0,63.07,-18.18,U
0.0,71.0,0.0,629.0,0.0,64.96,-18.29,U
0.0,0.0,575.0,607.0,0.0,51.01,-25.46,U
159.0,308.0,535.0,631.0,143.0,55.08,-22.33,U
0.0,0.0,611.0,642.0,0.0,63.14,-15.53,U
0.0,72.0,539.0,645.0,0.0,65.29,-14.66,U
0.0,240.0,523.0,638.0,0.0,61.26,-14.26,U
0.0,238.0,0.0,656.0,0.0,62.31,-16.13,U
146.0,0.0,600.0,639.0,0.0,65.28,-16.36,U
32.0,0.0,620.0,582.0,0.0,62.28,-16.98,U
0.0,34.0,562.0,522.0,0.0,60.87,-19.42,U
69.0,259.0,555.0,665.0,0.0,56.63,-17.25,U
393.0,0.0,576.0,670.0,0.0,53.54,-14.85,U
0.0,188.0,564.0,653.0,0.0,53.51,-18.87,U
84.0,247.0,578.0,658.0,0.0,48.75,-18.67,U
0.0,320.0,524.0,412.0,0.0,57.16,-15.79,U
0.0,0.0,642.0,648.0,0.0,62.11,-13.92,U
17.0,0.0,293.0,220.0,0.0,63.4,-13.3,U
0.0,0.0,565.0,625.0,0.0,60.94,-16.97,U
525.0,210.0,554.0,623.0,0.0,53.62,-20.41,U
91.0,337.0,509.0,0.0,0.0,60.18,-17.24,U
147.0,432.0,0.0,634.0,0.0,55.3,-22.06,U
0.0,0.0,508.0,0.0,0.0,58.96,-17.16,U
166.0,277.0,521.0,3.0,0.0,59.62,-18.76,U
0.0,0.0,607.0,634.0,0.0,58.78,-11.34,U
0.0,143.0,531.0,0.0,0.0,67.86,-7.32,U
0.0,0.0,589.0,517.0,0.0,63.78,-15.46,U
0.0,333.0,0.0,646.0,0.0,61.44,-16.18,U
0.0,0.0,609.0,634.0,0.0,59.26,-13.21,U
0.0,0.0,619.0,641.0,0.0,56.43,-15.75,U
123.0,179.0,621.0,531.0,0.0,62.38,-11.81,U
0.0,0.0,447.0,188.0,0.0,68.01,-14.01,U
0.0,313.0,528.0,0.0,179.0,62.13,-13.65,U
