THUMB,INDEX,MIDDLE,HEART,PINKY,ACCELERATION,LETTER
0,632,300,0,0,-2836,Ñ
1,0,300,0,0,-3808,Ñ
0,105,96,0,0,-4036,Ñ
115,306,598,614,0,-1636,Ñ
0,411,573,639,0,-1232,Ñ
2,0,187,485,0,-3672,Ñ
0,362,581,589,0,-2184,Ñ
0,344,582,585,0,-3432,Ñ
0,361,571,546,0,-2864,Ñ
0,326,557,577,0,-3244,Ñ
0,328,561,578,0,-2976,Ñ
0,371,554,579,0,-3408,Ñ
0,373,555,575,0,-3436,Ñ
0,352,555,574,0,-3612,Ñ
0,368,554,575,0,-3784,Ñ
562,362,580,587,0,-3940,Ñ
0,549,185,0,0,-7140,Ñ
0,389,176,0,0,-8324,Ñ
0,0,176,0,0,-11276,Ñ
0,0,163,0,0,-9508,Ñ
0,93,0,0,0,920,Ñ
0,175,585,607,0,4052,Ñ
0,346,499,254,0,-8896,Ñ
0,0,513,319,0,-8640,Ñ
0,1,523,506,0,-6736,Ñ
0,99,347,0,0,4732,Ñ
0,0,287,345,0,-15192,Ñ
0,0,184,1,0,-4144,Ñ
0,0,193,0,0,-8972,Ñ
0,0,370,0,0,-13784,Ñ
0,0,0,0,0,7008,Ñ
0,0,0,0,0,6664,Ñ
0,211,607,628,0,7632,Ñ
0,206,594,617,0,7288,Ñ
0,0,116,0,0,5108,Ñ
0,49,573,601,0,7216,Ñ
0,0,60,285,0,6052,Ñ
0,0,0,0,0,5292,Ñ
0,303,590,626,0,6688,Ñ
0,201,582,623,0,6304,Ñ
0,252,581,620,0,6608,Ñ
0,226,577,605,1,6656,Ñ
0,184,575,596,0,6424,Ñ
0,1,236,295,0,-6352,Ñ
0,1,97,0,574,-15752,Ñ
0,0,0,0,196,-13888,Ñ
45,0,15,61,380,-16124,Ñ
0,1,0,0,0,-12676,Ñ
0,0,0,0,0,-10916,Ñ
0,1,0,0,0,-14112,Ñ
0,0,0,0,0,-16524,Ñ
0,0,0,0,0,-15464,Ñ
0,0,0,0,0,-15312,Ñ
0,0,0,0,0,-10392,Ñ
0,0,0,0,0,-544,Ñ
0,0,1,1,0,-13012,Ñ
0,0,0,0,0,7876,Ñ
0,2,0,0,0,1536,Ñ
0,0,2,0,0,-14440,Ñ
0,0,0,0,0,-16448,Ñ
